"Link_ID","ST_MP","Length","NLane","LaneWidth","LShoulderWidth","RShoulderWidth","AADT","AccCount","RouteNo"
1,0.00,0.07,1.00,12.00,10.00,4.00,6225.00,10.00,"005"
2,0.24,0.19,1.00,12.00,10.00,4.00,6225.00,2.00,"005"
3,0.43,0.04,1.00,12.00,10.00,4.00,6225.00,0.00,"005"
4,0.50,0.07,1.00,12.00,10.00,4.00,6225.00,2.00,"005"
5,0.04,0.35,1.00,12.00,10.00,4.00,9147.00,2.00,"005"
6,0.00,0.18,1.00,12.00,10.00,4.00,7202.00,3.00,"005"
7,0.00,0.03,1.00,13.00,4.00,4.00,24044.00,2.00,"005"
8,0.27,0.01,1.00,14.00,6.00,0.00,24044.00,0.00,"005"
9,0.91,0.01,2.00,13.00,6.00,2.00,27763.00,0.00,"005"
10,1.45,0.15,4.00,12.00,5.00,5.00,37503.00,15.00,"005"
11,1.70,0.04,4.00,12.00,5.00,5.00,37503.00,1.00,"005"
12,1.75,0.08,4.00,12.00,5.00,5.00,37503.00,9.00,"005"
13,1.83,0.03,4.00,12.00,5.00,5.00,37503.00,1.00,"005"
14,1.97,0.07,4.00,12.00,10.00,14.00,46798.00,5.00,"005"
15,2.40,0.03,4.00,12.00,10.00,10.00,46798.00,0.00,"005"
16,3.88,0.14,3.00,12.00,10.00,10.00,44121.00,1.00,"005"
17,4.02,0.07,3.00,12.00,12.00,12.00,44121.00,2.00,"005"
18,4.58,0.17,3.00,12.00,12.00,12.00,43836.00,1.00,"005"
19,4.75,0.21,3.00,12.00,12.00,12.00,43836.00,1.00,"005"
20,0.60,0.20,2.00,12.00,0.00,5.00,1698.00,0.00,"090"
21,0.80,0.30,2.00,12.00,0.00,5.00,1698.00,0.00,"090"
22,1.10,0.07,2.00,12.00,0.00,5.00,1698.00,0.00,"090"
23,1.16,0.05,2.00,12.00,0.00,5.00,1698.00,0.00,"090"
24,1.22,0.11,2.00,12.00,0.00,5.00,1698.00,0.00,"090"
25,2.24,0.05,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
26,3.89,0.05,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
27,3.94,0.03,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
28,3.97,0.03,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
29,4.00,0.01,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
30,4.57,0.02,2.00,12.00,8.00,8.00,12096.00,0.00,"090"
31,4.58,0.16,2.00,12.00,8.00,8.00,9830.00,0.00,"090"
32,4.75,0.06,2.00,12.00,8.00,8.00,9830.00,0.00,"090"
33,5.46,0.22,2.00,12.00,8.00,8.00,7288.00,0.00,"090"
34,5.67,0.34,2.00,12.00,8.00,8.00,7288.00,1.00,"090"
35,6.11,0.21,2.00,12.00,8.00,8.00,7288.00,0.00,"090"
36,6.39,0.09,2.00,12.00,8.00,8.00,2251.00,1.00,"090"
37,65.88,0.08,4.00,12.00,0.00,10.00,45697.00,0.00,"005"
38,65.96,0.10,4.00,12.00,0.00,10.00,45697.00,3.00,"005"
39,66.07,0.33,4.00,12.00,3.00,10.00,45697.00,3.00,"005"
40,66.40,0.06,4.00,12.00,3.00,10.00,45697.00,6.00,"005"
41,66.46,1.69,4.00,12.00,3.00,10.00,45697.00,31.00,"005"
42,68.15,0.05,4.00,12.00,3.00,10.00,45697.00,0.00,"005"
43,68.23,0.19,4.00,12.00,3.00,10.00,45697.00,4.00,"005"
44,68.43,0.05,4.00,12.00,3.00,10.00,45697.00,1.00,"005"
45,68.47,0.01,4.00,12.00,3.00,10.00,44762.00,1.00,"005"
46,68.48,0.05,4.00,12.00,3.00,10.00,44762.00,2.00,"005"
47,68.54,0.12,4.00,12.00,3.00,10.00,44762.00,0.00,"005"
48,68.65,0.07,4.00,12.00,3.00,10.00,44762.00,1.00,"005"
49,68.72,0.13,4.00,12.00,3.00,10.00,44762.00,1.00,"005"
50,68.86,0.04,4.00,12.00,3.00,10.00,44762.00,0.00,"005"
51,68.89,0.11,4.00,12.00,3.00,10.00,44762.00,0.00,"005"
52,69.01,0.14,4.00,12.00,3.00,10.00,50312.00,1.00,"005"
53,69.14,0.28,4.00,12.00,3.00,10.00,50312.00,3.00,"005"
54,69.43,0.03,4.00,12.00,3.00,10.00,50312.00,1.00,"005"
55,69.51,0.29,4.00,12.00,0.00,10.00,50312.00,4.00,"005"
56,69.79,0.72,4.00,12.00,0.00,10.00,50312.00,15.00,"005"
57,7.03,0.01,6.00,12.00,0.00,10.00,68232.00,0.00,"005"
58,7.04,0.16,6.00,12.00,0.00,10.00,68232.00,9.00,"005"
59,7.20,0.04,5.00,12.00,0.00,10.00,68232.00,4.00,"005"
60,7.23,0.08,5.00,12.00,0.00,10.00,46525.00,2.00,"005"
61,7.31,0.05,4.00,12.00,0.00,10.00,46525.00,1.00,"005"
62,7.37,0.11,4.00,12.00,0.00,10.00,46525.00,2.00,"005"
63,7.47,0.01,4.00,14.00,0.00,0.00,46525.00,0.00,"005"
64,7.53,0.01,4.00,14.00,0.00,10.00,46525.00,0.00,"005"
65,7.54,0.24,4.00,12.00,0.00,10.00,46525.00,3.00,"005"
66,7.78,0.03,5.00,12.00,6.00,10.00,46525.00,0.00,"005"
67,7.92,0.06,5.00,12.00,6.00,10.00,46525.00,1.00,"005"
68,7.97,0.05,5.00,12.00,6.00,10.00,46525.00,1.00,"005"
69,70.52,0.22,4.00,12.00,0.00,10.00,50312.00,6.00,"005"
70,70.73,0.01,4.00,12.00,0.00,10.00,50312.00,1.00,"005"
71,76.40,0.04,4.00,12.00,0.00,10.00,56436.00,2.00,"005"
72,76.45,0.01,4.00,12.00,0.00,10.00,56436.00,0.00,"005"
73,76.46,0.04,4.00,12.00,0.00,10.00,56436.00,1.00,"005"
74,76.51,0.11,4.00,12.00,0.00,10.00,56436.00,6.00,"005"
75,76.62,0.14,4.00,12.00,0.00,10.00,50540.00,4.00,"005"
76,76.76,0.04,4.00,12.00,0.00,10.00,50540.00,1.00,"005"
77,76.79,0.01,4.00,12.00,0.00,10.00,50540.00,0.00,"005"
78,76.80,0.05,4.00,12.00,0.00,10.00,50540.00,2.00,"005"
79,76.86,0.02,4.00,12.00,0.00,10.00,50540.00,1.00,"005"
80,76.87,0.21,4.00,12.00,0.00,10.00,50540.00,2.00,"005"
81,77.09,0.11,4.00,12.00,0.00,10.00,63045.00,1.00,"005"
82,77.62,0.10,4.00,12.00,0.00,10.00,63045.00,4.00,"005"
83,77.71,0.14,4.00,12.00,0.00,10.00,63045.00,5.00,"005"
84,77.86,0.04,4.00,12.00,0.00,10.00,63045.00,0.00,"005"
85,77.89,0.01,4.00,12.00,0.00,10.00,63045.00,0.00,"005"
86,77.94,0.10,4.00,12.00,0.00,10.00,63045.00,4.00,"005"
87,78.04,0.14,4.00,12.00,0.00,10.00,56451.00,1.00,"005"
88,78.18,0.03,4.00,12.00,0.00,10.00,56451.00,1.00,"005"
89,78.29,0.03,4.00,12.00,0.00,10.00,56451.00,0.00,"005"
90,78.32,0.13,4.00,12.00,0.00,10.00,56451.00,2.00,"005"
91,78.63,0.25,4.00,12.00,0.00,10.00,67635.00,5.00,"005"
92,78.88,0.01,4.00,12.00,0.00,10.00,67635.00,0.00,"005"
93,78.89,0.01,4.00,12.00,0.00,10.00,67635.00,1.00,"005"
94,78.90,0.01,4.00,12.00,0.00,10.00,67635.00,0.00,"005"
95,78.92,0.10,4.00,12.00,0.00,10.00,67635.00,1.00,"005"
96,79.02,0.13,4.00,12.00,0.00,10.00,67635.00,7.00,"005"
97,79.14,0.14,4.00,12.00,0.00,10.00,57967.00,5.00,"005"
98,79.29,0.09,4.00,12.00,0.00,10.00,57967.00,4.00,"005"
99,79.37,0.12,4.00,12.00,0.00,10.00,57967.00,1.00,"005"
100,79.50,0.07,4.00,12.00,0.00,10.00,57967.00,1.00,"005"
101,8.03,0.01,6.00,12.00,6.00,10.00,46525.00,0.00,"005"
102,8.06,0.03,6.00,12.00,6.00,10.00,46525.00,1.00,"005"
103,8.10,0.13,6.00,12.00,6.00,10.00,46525.00,7.00,"005"
104,8.22,0.02,6.00,12.00,6.00,10.00,91950.00,2.00,"005"
105,8.25,0.66,6.00,12.00,6.00,10.00,91950.00,37.00,"005"
106,8.90,0.26,6.00,12.00,6.00,10.00,91950.00,16.00,"005"
107,80.30,0.97,4.00,12.00,0.00,10.00,69904.00,18.00,"005"
108,81.28,0.07,4.00,12.00,0.00,10.00,69904.00,1.00,"005"
109,81.36,0.05,4.00,12.00,0.00,10.00,69904.00,1.00,"005"
110,81.40,0.15,4.00,12.00,0.00,10.00,69904.00,6.00,"005"
111,81.55,0.01,4.00,12.00,0.00,10.00,69904.00,0.00,"005"
112,81.61,0.13,4.00,12.00,0.00,10.00,69904.00,2.00,"005"
113,81.76,0.10,4.00,12.00,0.00,10.00,58406.00,1.00,"005"
114,81.86,0.02,4.00,12.00,0.00,10.00,58406.00,1.00,"005"
115,81.87,0.13,4.00,12.00,0.00,10.00,58406.00,1.00,"005"
116,82.01,0.06,4.00,12.00,0.00,10.00,58406.00,2.00,"005"
117,82.09,0.06,4.00,12.00,0.00,10.00,58406.00,1.00,"005"
118,82.14,0.20,4.00,12.00,0.00,10.00,67674.00,6.00,"005"
119,82.39,0.05,4.00,12.00,0.00,10.00,67674.00,5.00,"005"
120,82.45,0.05,4.00,12.00,0.00,10.00,67674.00,0.00,"005"
121,82.50,0.15,4.00,12.00,0.00,10.00,67674.00,7.00,"005"
122,82.64,0.03,4.00,12.00,0.00,10.00,67674.00,1.00,"005"
123,82.68,0.12,4.00,12.00,0.00,10.00,67674.00,8.00,"005"
124,82.84,0.19,4.00,12.00,0.00,10.00,47465.00,8.00,"005"
125,83.03,0.13,4.00,12.00,0.00,10.00,47465.00,3.00,"005"
126,83.15,0.02,4.00,12.00,0.00,10.00,47465.00,1.00,"005"
127,83.18,0.15,4.00,12.00,0.00,10.00,47465.00,4.00,"005"
128,83.32,0.02,4.00,12.00,0.00,10.00,59588.00,2.00,"005"
129,83.42,0.01,4.00,12.00,0.00,10.00,59588.00,0.00,"005"
130,9.17,0.03,6.00,12.00,6.00,10.00,91950.00,0.00,"005"
131,9.23,0.25,6.00,12.00,6.00,10.00,91950.00,9.00,"005"
132,9.48,0.02,6.00,12.00,6.00,10.00,91950.00,0.00,"005"
133,9.53,0.02,6.00,12.00,6.00,10.00,77759.00,4.00,"005"
134,9.54,0.16,6.00,12.00,6.00,10.00,77759.00,7.00,"005"
135,9.70,0.23,6.00,12.00,6.00,10.00,77759.00,7.00,"005"
136,96.22,0.04,6.00,12.00,0.00,22.00,59214.00,2.00,"005"
137,96.27,1.01,6.00,12.00,0.00,10.00,59214.00,28.00,"005"
138,97.28,0.19,6.00,12.00,0.00,10.00,59214.00,8.00,"005"
139,97.46,1.22,6.00,12.00,0.00,10.00,59214.00,36.00,"005"
140,98.69,0.06,6.00,12.00,0.00,10.00,59214.00,0.00,"005"
141,98.75,0.20,6.00,12.00,0.00,10.00,59214.00,1.00,"005"
142,98.95,0.01,6.00,12.00,0.00,10.00,59214.00,1.00,"005"
143,98.96,0.07,6.00,12.00,0.00,10.00,59214.00,1.00,"005"
144,99.04,0.01,6.00,12.00,0.00,10.00,59214.00,0.00,"005"
145,99.04,0.16,6.00,12.00,0.00,10.00,59214.00,4.00,"005"
146,99.29,0.06,6.00,12.00,0.00,10.00,59214.00,2.00,"005"
147,99.54,0.10,6.00,12.00,0.00,10.00,56441.00,3.00,"005"
148,99.64,0.09,6.00,12.00,0.00,10.00,56441.00,2.00,"005"
149,99.84,0.68,6.00,12.00,0.00,10.00,68617.00,18.00,"005"
150,0.42,0.08,4.00,12.00,4.00,10.00,28263.00,2.00,"500"
151,0.50,0.06,4.00,12.00,4.00,10.00,28263.00,3.00,"500"
152,0.55,0.03,4.00,12.00,0.00,10.00,28263.00,1.00,"500"
