"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 11:57:40,0,8,660.00,0.00,5,3,0,0
8791,2012/6/13 11:58:00,0,8,680.00,0.00,11,0,0,0
8791,2012/6/13 11:58:20,0,8,674.00,0.00,4,0,0,0
8791,2012/6/13 11:58:40,0,8,634.00,0.00,7,1,0,0
8791,2012/6/13 11:59:00,0,8,625.00,0.00,12,1,0,0
8791,2012/6/13 11:59:20,0,8,636.00,0.00,9,1,0,0
8791,2012/6/13 11:59:40,0,8,702.00,0.00,5,2,1,0
8791,2012/6/13 12:00:00,0,8,695.00,0.00,9,0,0,0
8791,2012/6/13 12:00:20,0,8,667.00,0.00,7,0,1,0
8791,2012/6/13 12:00:40,0,8,663.00,0.00,3,2,0,0
8791,2012/6/13 12:01:00,0,8,672.00,0.00,7,1,0,0
8791,2012/6/13 12:01:20,0,8,688.00,0.00,4,0,1,0
8791,2012/6/13 12:01:40,0,8,689.00,0.00,4,2,0,0
8791,2012/6/13 12:02:00,0,8,678.00,0.00,6,0,0,0
8791,2012/6/13 12:02:20,0,8,656.00,0.00,8,2,1,0
8791,2012/6/13 12:02:40,0,8,693.00,0.00,7,1,0,0
8791,2012/6/13 12:03:00,0,8,674.00,0.00,16,0,1,0
8791,2012/6/13 12:03:20,0,8,653.00,0.00,6,0,0,0
8791,2012/6/13 12:03:40,0,8,657.00,0.00,7,2,0,0
8791,2012/6/13 12:04:00,0,8,679.00,0.00,11,0,0,0
8791,2012/6/13 12:04:20,0,8,676.00,0.00,5,1,0,0
8791,2012/6/13 12:04:40,0,8,679.00,0.00,11,1,1,0
8791,2012/6/13 12:05:00,0,8,689.00,0.00,1,0,0,0
8791,2012/6/13 12:05:20,0,8,649.00,0.00,6,1,0,0
8791,2012/6/13 12:05:40,0,8,651.00,0.00,5,2,0,0
8791,2012/6/13 12:06:00,0,8,649.00,0.00,6,1,0,0
8791,2012/6/13 12:06:20,0,8,723.00,0.00,5,0,0,0
8791,2012/6/13 12:06:40,0,8,701.00,0.00,6,0,1,0
8791,2012/6/13 12:07:00,0,8,671.00,0.00,4,2,1,0
8791,2012/6/13 12:07:20,0,8,643.00,0.00,9,1,0,0
8791,2012/6/13 12:07:40,0,8,670.00,0.00,13,1,0,0
8791,2012/6/13 12:08:00,0,8,679.00,0.00,5,1,0,0
8791,2012/6/13 12:08:20,0,8,678.00,0.00,4,3,0,0
8791,2012/6/13 12:08:40,0,8,643.00,0.00,9,0,0,0
8791,2012/6/13 12:09:00,0,8,662.00,0.00,11,0,1,0
8791,2012/6/13 12:09:20,0,8,692.00,0.00,4,1,0,0
8791,2012/6/13 12:09:40,0,8,696.00,0.00,9,0,0,0
8791,2012/6/13 12:10:00,0,8,684.00,0.00,3,1,0,0
8791,2012/6/13 12:10:20,0,8,704.00,0.00,3,0,0,0
8791,2012/6/13 12:10:40,0,8,659.00,0.00,2,2,0,0
8791,2012/6/13 12:11:00,0,8,696.00,0.00,3,0,0,0
8791,2012/6/13 12:11:20,0,8,682.00,0.00,6,1,0,0
8791,2012/6/13 12:11:40,0,8,647.00,0.00,4,3,0,0
8791,2012/6/13 12:12:00,0,8,603.00,0.00,8,1,1,0
8791,2012/6/13 12:12:20,0,8,703.00,0.00,7,0,0,0
8791,2012/6/13 12:12:40,0,8,660.00,0.00,8,1,0,0
8791,2012/6/13 12:13:00,0,8,645.00,0.00,7,0,0,0
8791,2012/6/13 12:13:20,0,8,680.00,0.00,3,1,0,0
8791,2012/6/13 12:13:40,0,8,677.00,0.00,11,1,0,0
8791,2012/6/13 12:14:00,0,8,693.00,0.00,8,0,2,0
8791,2012/6/13 12:14:20,0,8,654.00,0.00,6,0,0,0
8791,2012/6/13 12:14:40,0,8,667.00,0.00,8,1,0,0
8791,2012/6/13 12:15:00,0,8,642.00,0.00,9,0,0,0
8791,2012/6/13 12:15:20,0,8,675.00,0.00,8,2,0,0
8791,2012/6/13 12:15:40,0,8,607.00,0.00,10,4,1,0
8791,2012/6/13 12:16:00,0,8,612.00,0.00,9,5,0,0
8791,2012/6/13 12:16:20,0,8,664.00,0.00,6,3,0,0
8791,2012/6/13 12:16:40,0,8,698.00,0.00,3,2,0,0
8791,2012/6/13 12:17:00,0,8,664.00,0.00,6,0,0,0
8791,2012/6/13 12:17:20,0,8,668.00,0.00,10,1,0,0
8791,2012/6/13 12:17:40,0,8,686.00,0.00,7,2,0,0
8791,2012/6/13 12:18:00,0,8,658.00,0.00,6,0,0,0
8791,2012/6/13 12:18:20,0,8,667.00,0.00,5,0,0,1
8791,2012/6/13 12:18:40,0,8,640.00,0.00,5,1,0,2
8791,2012/6/13 12:19:00,0,8,656.00,0.00,11,1,0,1
8791,2012/6/13 12:19:20,0,8,642.00,0.00,17,0,0,0
8791,2012/6/13 12:19:40,0,8,688.00,0.00,4,1,0,0
8791,2012/6/13 12:20:00,0,8,648.00,0.00,9,2,0,1
8791,2012/6/13 12:20:20,0,8,680.00,0.00,2,0,0,0
8791,2012/6/13 12:20:40,0,8,649.00,0.00,9,2,1,0
8791,2012/6/13 12:21:00,0,8,619.00,0.00,13,1,0,0
8791,2012/6/13 12:21:20,0,8,691.00,0.00,4,1,0,0
8791,2012/6/13 12:21:40,0,8,653.00,0.00,5,2,0,0
8791,2012/6/13 12:22:00,0,8,702.00,0.00,8,2,0,0
8791,2012/6/13 12:22:20,0,8,672.00,0.00,7,1,0,0
8791,2012/6/13 12:22:40,0,8,663.00,0.00,7,1,0,0
8791,2012/6/13 12:23:00,0,8,702.00,0.00,3,2,1,0
8791,2012/6/13 12:23:20,0,8,710.00,0.00,8,1,0,0
8791,2012/6/13 12:23:40,0,8,663.00,0.00,6,5,0,0
