"RouteNo","Direction","ShoulderWidth","RdwyWidth","NumOfLanes","LaneWidth","UrbanRural","Terrain","RampDensity","EndARM","BeginARM"
"005","i",10.00,48.00,4,12.00,"U","Level",1.05,141.64,138.04
"005","i",10.00,48.00,4,12.00,"U","Level",1.50,141.64,141.64
"005","i",10.00,48.00,4,12.00,"U","Level",1.50,142.04,141.64
"005","i",10.00,48.00,4,12.00,"U","Level",1.50,142.21,142.04
"005","i",10.00,48.00,4,12.00,"U","Level",1.50,142.49,142.21
"005","i",9.30,49.40,4,12.50,"U","Level",1.51,143.58,142.49
"005","i",10.00,48.00,4,12.00,"U","Level",1.66,143.67,143.58
"005","i",3.80,48.90,4,12.00,"U","Level",1.66,144.31,143.67
"005","i",5.00,49.80,4,12.50,"U","Level",1.83,144.57,144.31
"005","i",5.70,47.90,4,12.00,"U","Level",1.45,146.49,144.61
"005","i",6.40,44.90,4,11.00,"U","Level",1.51,147.28,146.49
"005","i",3.00,44.00,4,11.00,"U","Level",1.22,148.79,147.28
"005","i",3.00,48.80,4,12.00,"U","Level",1.41,149.21,148.79
"005","i",0.00,58.50,4,14.50,"U","Level",1.50,149.33,149.21
"005","i",2.40,46.90,4,11.50,"U","Level",1.46,149.68,149.33
"005","i",3.00,44.00,4,11.00,"U","Level",1.44,150.90,149.68
"005","i",3.00,44.30,4,11.00,"U","Level",1.83,151.25,150.90
"005","i",3.00,45.90,4,11.50,"U","Level",2.14,152.03,151.25
"005","i",3.00,46.00,4,11.50,"U","Level",2.43,152.60,152.03
"005","i",3.50,48.50,4,12.00,"U","Level",2.41,153.75,152.60
"005","i",5.80,45.90,3,12.50,"U","Level",2.37,154.05,153.75
"005","i",8.60,38.10,3,12.50,"U","Level",2.26,154.61,154.05
"005","i",10.00,36.00,3,12.00,"U","Level",2.50,154.82,154.61
"005","i",10.00,40.00,3,12.00,"U","Level",2.61,154.96,154.82
"005","i",0.00,48.00,4,12.00,"U","Level",2.66,155.18,154.96
"005","i",3.30,47.00,3,12.00,"U","Level",2.66,155.59,155.18
"005","i",6.70,48.00,4,12.00,"U","Level",2.50,156.29,155.59
"005","i",0.00,46.00,4,11.50,"U","Level",2.16,157.46,156.29
"005","i",0.00,44.00,4,11.00,"U","Level",1.83,157.63,157.46
"005","i",0.00,44.00,4,11.00,"U","Level",1.72,157.89,157.63
"005","i",0.00,44.00,4,11.00,"U","Level",1.50,158.04,157.89
"005","i",4.40,46.10,4,11.50,"U","Level",1.59,160.63,158.04
"005","i",6.00,44.00,4,11.00,"U","Level",1.66,161.23,160.63
"005","i",2.00,44.00,4,11.00,"U","Level",1.83,161.39,161.23
"005","i",3.60,44.00,4,11.00,"U","Level",2.00,161.77,161.39
"005","i",8.40,46.60,3,12.00,"U","Level",2.72,162.57,161.77
"005","i",3.20,41.20,3,13.50,"U","Level",3.65,163.36,162.57
"005","i",0.00,46.50,3,15.50,"U","Level",4.25,164.21,163.36
"005","i",0.00,40.40,3,13.50,"U","Level",4.37,164.49,164.22
"005","i",0.00,33.00,3,11.00,"U","Level",4.50,164.59,164.49
"005","i",0.00,35.30,3,12.00,"U","Level",4.50,164.78,164.59
"005","i",0.00,40.80,3,13.50,"U","Level",4.50,165.11,164.79
"005","i",0.00,40.70,3,13.00,"U","Level",4.72,165.25,165.11
"005","i",0.00,42.50,2,16.00,"U","Level",4.83,165.62,165.30
"005","i",0.00,50.00,3,16.50,"U","Level",4.50,165.67,165.62
"005","i",0.00,64.00,4,16.00,"U","Level",4.50,165.97,165.67
"005","i",1.20,56.70,4,14.00,"U","Level",5.00,166.39,165.98
"005","i",3.00,51.30,4,12.00,"U","Level",4.66,166.49,166.39
"005","i",6.00,48.00,4,10.50,"U","Level",4.66,166.62,166.49
"005","i",6.00,48.00,4,12.00,"U","Level",4.96,167.26,166.63
"005","i",6.00,54.00,4,13.50,"U","Level",4.83,167.35,167.26
"005","i",2.40,54.00,4,13.50,"U","Level",4.86,167.80,167.37
"005","i",7.20,40.80,3,12.00,"U","Level",4.66,168.18,167.80
"005","i",5.00,53.30,4,13.50,"U","Level",4.44,168.56,168.18
"005","i",0.00,56.40,4,14.00,"U","Level",4.06,168.96,168.56
"005","i",0.00,53.10,4,13.50,"U","Level",3.75,169.71,169.01
"005","i",0.00,48.00,4,12.00,"U","Level",3.33,169.86,169.71
"005","i",0.00,48.00,4,12.00,"U","Level",3.33,170.02,169.86
"005","i",0.00,50.60,3,13.00,"U","Level",3.40,170.47,170.02
"005","i",0.00,40.00,3,12.50,"U","Level",3.33,170.83,170.54
"005","i",0.00,36.00,3,12.00,"U","Level",3.16,171.11,170.83
"005","i",0.00,36.00,3,12.00,"U","Level",3.16,171.68,171.11
"005","i",0.00,36.00,3,12.00,"U","Level",3.16,171.88,171.68
"005","i",5.70,36.90,3,12.00,"U","Level",2.92,172.35,171.88
"005","i",3.00,45.60,3,12.00,"U","Level",2.96,173.15,172.35
"005","i",0.00,48.00,4,12.00,"U","Level",2.83,173.51,173.15
"005","i",0.00,48.00,4,12.00,"U","Level",2.48,174.27,173.51
"005","i",0.00,48.00,4,12.00,"U","Level",2.51,175.10,174.27
"005","i",0.00,48.00,4,12.00,"U","Level",2.88,175.28,175.10
"005","i",0.00,47.00,3,12.00,"U","Level",2.86,175.79,175.28
"005","i",0.00,37.10,3,12.00,"U","Level",2.84,176.55,175.79
"005","i",0.00,36.00,3,12.00,"U","Level",2.81,177.44,176.55
"005","i",0.00,36.00,3,12.00,"U","Level",2.66,177.44,177.44
"005","i",0.00,36.00,3,12.00,"U","Level",2.66,177.68,177.44
"005","i",0.00,36.00,3,12.00,"U","Level",2.66,177.83,177.68
"005","i",0.00,36.00,3,12.00,"U","Level",2.66,177.95,177.83
"005","i",0.00,36.00,3,12.00,"U","Level",2.66,178.06,177.95
"005","i",0.00,36.00,3,12.00,"U","Level",2.58,178.20,178.06
"005","i",7.00,36.00,3,12.00,"U","Level",2.65,178.98,178.20
"005","i",7.00,36.00,3,12.00,"U","Level",2.83,179.17,178.98
"005","i",7.00,36.00,3,12.00,"U","Level",3.00,179.61,179.17
"005","i",6.10,37.00,3,12.50,"U","Level",2.95,180.23,179.61
"005","i",7.00,36.00,3,12.00,"U","Level",3.00,180.36,180.23
"005","i",7.00,36.00,3,12.00,"U","Level",2.91,181.16,180.36
"005","i",7.00,36.00,3,12.00,"U","Level",2.41,181.31,181.16
"005","i",7.00,36.00,3,12.00,"U","Level",2.41,181.63,181.31
