"CabName","UnitType","ID","Latitude","Longitude","Route","Milepost","direction","UnitName","isHOV","isMetered","isDuplicate","isReversible","isAuxillary","isCollector"
"005es16512","station   ",7527,"47.6019","-122.3247","005","165.12","N","005es16512:_MN_Stn",0,0,0,0,0,0
"005es16551","station   ",8111,"47.6067","-122.3294","005","165.51","N","005es16551:_MN_Stn",0,0,0,0,0,0
"005es16704","station   ",8007,"47.6283","-122.3276","005","167.04","N","005es16704:_MN_Stn",0,0,0,0,0,0
"005es16732","station   ",7896,"47.6317","-122.3245","005","167.32","N","005es16732:_MN_Stn",0,0,0,0,0,0
"005es16756","station   ",7545,"47.6349","-122.3236","005","167.56","N","005es16756:_MN_Stn",0,0,0,0,0,0
"005es16802","station   ",7892,"47.6417","-122.3233","005","168.02","N","005es16802:_MN_Stn",0,0,0,0,0,0
"005es16831","station   ",7294,"47.646","-122.3224","005","168.31","N","005es16831:_MN_Stn",0,0,0,0,0,0
"005es16885","station   ",8021,"47.6538","-122.3226","005","168.85","N","005es16885:_MN_Stn",0,0,0,0,0,0
"005es16920","station   ",7964,"47.6587","-122.3221","005","169.2","N","005es16920:_MN_Stn",0,0,0,0,0,0
"005es17025","station   ",7478,"47.6743","-122.3208","005","170.25","N","005es17025:_MN_Stn",0,0,0,0,0,0
"005es17130","station   ",7777,"47.6877","-122.3277","005","171.3","N","005es17130:_MN_Stn",0,0,0,0,0,0
"005es17215","station   ",7997,"47.6998","-122.3292","005","172.15","N","005es17215:_MN_Stn",0,0,0,0,0,0
"005es17264","station   ",7323,"47.7067","-122.33","005","172.64","N","005es17264:_MN_Stn",0,0,0,0,0,0
"005es17328","station   ",7573,"47.7154","-122.3261","005","173.28","N","005es17328:_MN_Stn",0,0,0,0,0,0
"005es17375","station   ",7495,"47.722","-122.3245","005","173.75","N","005es17375:_MN_Stn",0,0,0,0,0,0
"005es17416","station   ",7716,"47.728","-122.3242","005","174.16","N","005es17416:_MN_Stn",0,0,0,0,0,0
"005es17508","station   ",7287,"47.7409","-122.329","005","175.08","N","005es17508:_MN_Stn",0,0,0,0,0,0
"005es17551","station   ",7450,"47.7468","-122.3291","005","175.51","N","005es17551:_MN_Stn",0,0,0,0,0,0
"005es17674","station   ",8164,"47.7635","-122.3235","005","176.74","N","005es17674:_MN_Stn",0,0,0,0,0,0
"005es17722","station   ",8041,"47.7704","-122.3214","005","177.22","N","005es17722:_MN_Stn",0,0,0,0,0,0
"005es17774","station   ",7487,"47.7773","-122.3181","005","177.74","N","005es17774:_MN_Stn",0,0,0,0,0,0
"005es17875","station   ",7514,"47.7917","-122.3166","005","178.75","N","005es17875:_MN_Stn",0,0,0,0,0,0
"005es17976","station   ",7629,"47.8051","-122.3093","005","179.76","N","005es17976:_MN_Stn",0,0,0,0,0,0
