"Name","Company","OneYrPay","FiveYrPay","Shares","Age"
"Alan B Miller","Universal Health Services",11.59,51.36,302.80,74.00
"Alan R Mulally","Ford Motor",20.83,59.61,35.70,66.00
"Alexander M Cutler","Eaton",25.84,101.77,27.90,60.00
"Allen F Wise","Coventry Health Care",20.87,,8.60,69.00
"Andrea Jung","Avon Products",12.01,49.66,7.70,53.00
"Andrew N Liveris","Dow Chemical",10.41,40.89,29.10,58.00
"Angela F Braly","WellPoint",9.49,21.63,32.50,50.00
"Aubrey K McClendon","Chesapeake Energy",19.87,303.60,79.10,51.00
"Blake W Nordstrom","Nordstrom",8.69,24.87,117.00,51.00
"Bob Sasser","Dollar Tree",8.84,23.35,8.90,60.00
"Brian D Jellison","Roper Industries",9.36,48.40,97.50,66.00
"Brian L Roberts","Comcast",18.77,151.69,568.40,52.00
"C Larry Pope","Smithfield Foods",16.67,27.67,15.20,57.00
"Carol M Meyrowitz","TJX Cos",16.54,49.96,52.40,58.00
"Charles D Davidson","Noble Energy",9.42,59.97,41.10,62.00
"Charles E Bunch","PPG Industries",19.66,48.12,29.20,62.00
"Charles W Moorman IV","Norfolk Southern",10.26,33.40,24.60,60.00
"Clarence P Cazalot Jr","Marathon Oil",43.71,67.23,30.30,61.00
"Daniel C Ustian","Navistar International",12.51,28.93,5.80,61.00
"Daniel P Amos","Aflac",17.13,141.78,249.70,60.00
"David B Snow Jr","Medco Health Solutions",22.19,87.10,32.90,57.00
"David C Novak","Yum Brands",29.67,199.88,18.30,59.00
"David E I Pyott","Allergan",33.82,120.81,21.60,59.00
"David J Lesar","Halliburton",18.39,103.06,25.80,59.00
"David J Neithercut","Equity Residential",9.33,26.39,25.90,56.00
"David M Cordani","Cigna",13.40,28.79,7.90,46.00
"David M Cote","Honeywell",55.79,96.11,21.50,59.00
"David M Zaslav","Discovery Communications",40.74,71.50,0.00,52.00
"David N Farr","Emerson Electric",19.99,84.48,91.30,57.00
"David N Weidman","Celanese",13.02,28.78,7.70,56.00
"David W Nelms","Discover Financial Services",9.88,63.95,32.30,51.00
"Debra A Cafaro","Ventas",9.49,47.04,40.60,54.00
"Donald E Washkewicz","Parker-Hannifin",16.24,68.02,52.80,61.00
"Ellen J Kullman","EI du Pont de Nemours",9.73,23.94,9.10,56.00
"Eric C Wiseman","VF",24.04,47.34,24.70,56.00
"Fabrizio Freda","Estee Lauder Cos",9.52,17.78,0.60,54.00
"Francisco D'Souza","Cognizant Technology Solutions",19.09,38.52,13.50,43.00
"Frank R Martire","Fidelity National Information Services",20.78,,16.30,63.00
"Frank S Hermance","Ametek",19.34,88.79,88.20,63.00
"Frederick H Waddell","Northern Trust",17.68,33.55,7.20,59.00
"Frederick W Smith","FedEx",25.37,125.42,1817.60,67.00
"G Steven Farris","Apache",17.36,69.05,42.00,64.00
"Gale E Klappa","Wisconsin Energy",17.27,48.78,4.20,61.00
"Gary R Heminger","Marathon Petroleum",10.36,,21.00,58.00
"George L Chapman","Health Care REIT",9.73,22.17,17.50,64.00
"George Paz","Express Scripts",51.52,100.21,47.30,57.00
"Glen F Post III","CenturyLink",13.74,46.49,36.80,59.00
"Glenn A Britt","Time Warner Cable",16.55,50.25,8.80,62.00
"Glenn M Renwick","Progressive",10.45,47.39,68.70,56.00
"Gregg W Steinhafel","Target",28.62,52.06,34.00,56.00
"Gregory B Maffei","Liberty Interactive Group",8.97,28.75,10.10,51.00
"Gregory C Case","Aon",17.54,40.10,27.40,49.00
"Gregory E Johnson","Franklin Resources",14.61,49.93,195.30,50.00
"Gregory H Boyce","Peabody Energy",8.80,85.30,6.30,57.00
"Gregory L Ebel","Spectra Energy",9.41,16.42,1.50,47.00
"Gregory Q Brown","Motorola Solutions",13.70,35.23,23.00,52.00
"H Lawrence Culp Jr","Danaher",19.26,190.81,95.30,49.00
"Hans Helmerich","Helmerich & Payne",14.01,43.75,50.80,53.00
"Howard D Schultz","Starbucks",41.47,200.97,1058.10,58.00
"Hugh Grant","Monsanto",12.84,143.18,41.00,54.00
"Ian M Cook","Colgate-Palmolive",19.23,39.98,26.50,60.00
"Indra K Nooyi","PepsiCo",13.12,65.51,20.30,56.00
"Irene B Rosenfeld","Kraft Foods",25.37,65.48,37.20,58.00
"J Brett Harvey","Consol Energy",15.52,38.93,13.20,61.00
"J Wayne Leonard","Entergy",15.11,108.57,30.80,61.00
"James A C Kennedy","T Rowe Price Group",10.95,56.35,172.00,59.00
"James A Rubright","Rock-Tenn",12.65,54.57,25.50,65.00
"James A Skinner","McDonald's",13.18,72.79,31.00,67.00
"James Dimon","JPMorgan Chase & Co",41.99,140.92,223.40,56.00
"James E Rogers","Duke Energy",18.54,41.54,51.70,64.00
"James E Rohr","PNC Financial Services Group",11.14,52.12,35.30,63.00
"James H Herbert II","First Republic California",16.07,,13.70,68.00
"James J Mulva","ConocoPhillips",15.61,79.45,59.80,65.00
"James L Dolan","Cablevision Systems",12.97,87.32,17.20,56.00
"James M Cracchiolo","Ameriprise Financial",11.17,63.21,14.50,54.00
"James P Gorman","Morgan Stanley",10.39,,21.90,52.00
"James T Hackett","Anadarko Petroleum",25.92,113.33,29.70,58.00
"James T Ryan","WW Grainger",12.75,23.53,32.80,53.00
"James W Griffith","Timken",8.89,30.12,19.00,58.00
"Jay S Fishman","Travelers Cos",25.48,78.59,33.60,59.00
"Jeffery H Boyd","Priceline.com",50.18,90.30,128.20,55.00
"Jeffrey A Joerres","Manpower",10.45,31.48,14.10,52.00
"Jeffrey L Bewkes","Time Warner",19.79,68.27,12.70,59.00
"Jen-Hsun Huang","Nvidia",15.44,136.22,308.80,49.00
"Jerald G Fishman","Analog Devices",14.25,57.02,16.40,66.00
"John B Hess","Hess",33.20,255.35,610.10,58.00
"John C Lechleiter","Eli Lilly & Co",15.57,44.36,19.30,58.00
"John C Martin","Gilead Sciences",43.19,214.92,90.90,60.00
"John C Plant","TRW Automotive Holdings",41.09,91.02,33.70,58.00
"John D Finnegan","Chubb",16.84,82.15,57.30,63.00
"John D Wren","Omnicom Group",42.62,110.41,71.10,59.00
"John E McGlade","Air Products & Chemicals",11.36,36.77,16.90,58.00
"John F Brock","Coca-Cola Enterprises",21.18,47.04,9.50,63.00
"John F Coyne","Western Digital",9.06,55.33,33.10,62.00
"John F Lundgren","Stanley Black & Decker",19.77,40.08,25.30,60.00
"John H Hammergren","McKesson",131.19,285.02,51.90,53.00
"John J Donahoe","Ebay",15.38,32.29,13.00,50.00
"John P Daane","Altera",14.11,45.75,20.50,48.00
"John R Strangfeld Jr","Prudential Financial",11.13,61.97,14.70,58.00
"John V Faraci","International Paper",11.31,49.30,58.10,62.00
"John W Conway","Crown Holdings",16.44,70.87,61.40,66.00
"Joseph A Carrabba","Cliffs Natural Resources",13.30,37.83,14.80,59.00
"Joseph C Papa","Perrigo",10.74,24.35,11.50,56.00
"Joseph L Hooley","State Street",9.21,,29.00,54.00
"Joseph M Tucci","EMC",32.30,113.46,29.50,64.00
"K Rupert Murdoch","News Corp",24.79,106.73,6609.30,81.00
"Keith D Nosbusch","Rockwell Automation",27.18,57.25,37.70,61.00
