Country,GDPPC,Population,PercentWorld
Taiwan(China),20871.13,23433753,0.003307533
Qatar,145894,2235431,0.000315518
Luxembourg,90333,549700,7.75868E-05
Singapore,78762,5469700,0.000772015
Brunei,73823,393372,5.55221E-05
Kuwait,70785,3268431,0.000461319
Norway,64363,5156450,0.000727802
United Arab Emirates,63181,9577000,0.001351736
San Marino,62766,32777,4.62628E-06
Switzerland,53977,8211700,0.001159032
United States,53001,320314000,0.045210385
Hong Kong(China),52984,7234800,0.001021148
Saudi Arabia,51779,31521418,0.004449058
Bahrain,49633,1316500,0.000185816
Netherlands,46440,16887900,0.002383625
Australia,45138,23731000,0.003349487
Ireland,44663,4609600,0.000650617
Austria,44402,8572895,0.001210012
Germany,43475,80791000,0.011403161
Sweden,43407,9743087,0.001375178
Oman,43304,4099904,0.000578677
Canada,43253,35675834,0.005035428
Denmark,43080,5655750,0.000798275
China,41539,1367980000,0.193082106
Iceland,41001,328170,4.63192E-05
Belgium,40760,11233192,0.001585497
Finland,40045,5475526,0.000772837
France,39813,66092000,0.009328486
Japan,36654,127020000,0.017928105
United Kingdom,36208,64105654,0.009048125
Italy,34103,60782897,0.008579138
South Korea,33791,50423955,0.007117036
New Zealand,33626,4558980,0.000643472
Israel,32717,8296000,0.00117093
Spain,31942,46464053,0.00655812
Malta,30567,416055,5.87236E-05
Trinidad and Tobago,30197,1328019,0.000187442
Cyprus,28748,858000,0.000121102
Slovenia,28512,2065505,0.000291534
Czech Republic,27347,10521600,0.00148506
Slovakia,26616,5421034,0.000765146
Estonia,26052,1312252,0.000185216
Portugal,25643,10477800,0.001478878
Lithuania,25374,2921920,0.000412411
Greece,25126,10992589,0.001551537
The Bahamas,24648,368390,5.1996E-05
Russia,24298,146270033,0.020645131
Seychelles,23532,89949,1.26958E-05
Poland,23273,38496000,0.005433478
Hungary,23236,9879000,0.001394361
Malaysia,23160,30479800,0.004302039
Kazakhstan,23038,17397200,0.00245551
Latvia,22832,1988400,0.000280651
Chile,22534,18006407,0.002541495
Argentina,22363,43131966,0.006087816
Antigua and Barbuda,21967,86295,1.218E-05
Libya,20681,6317000,0.000891606
Gabon,20520,1751000,0.000247143
Croatia,20222,4267558,0.00060234
Saint Kitts and Nevis,19823,55000,7.76292E-06
Uruguay,19679,3404189,0.000480481
Panama,19080,3713312,0.000524112
Turkey,18874,77695904,0.010966307
Venezuela,18453,30620404,0.004321885
Belarus,17623,9481000,0.001338186
Romania,17440,19942642,0.002814783
Mexico,17390,121005815,0.017079239
Lebanon,17326,4104000,0.000579255
Mauritius,17118,1261208,0.000178012
Azerbaijan,17028,9583200,0.001352611
Bulgaria,16518,7245677,0.001022684
Iran,16165,78086700,0.011021466
Suriname,16080,534189,7.53975E-05
Barbados,16015,285000,4.0226E-05
Botswana,15241,2024904,0.000285803
Palau,15005,20901,2.95005E-06
Brazil,14987,203822000,0.028768243
Montenegro,14666,620029,8.75133E-05
Iraq,14367,36004552,0.005081825
Costa Rica,14344,4773130,0.000673698
Thailand,14136,64871000,0.009156149
Algeria,13788,39500000,0.005575186
Turkmenistan,12863,5888000,0.000831056
Colombia,12776,47979000,0.006771946
Macedonia,12587,2065769,0.000291571
South Africa,12507,54002000,0.007622056
Serbia,12465,7146759,0.001008722
Dominican Republic,12173,10378267,0.00146483
Maldives,11903,341256,4.81662E-05
Jordan,11639,6685920,0.000943677
Peru,11557,31151643,0.004396866
Grenada,11481,103328,1.45841E-05
Saint Lucia,11150,185000,2.61116E-05
Tunisia,10998,10982754,0.001550149
Ecuador,10908,15923000,0.002247435
Egypt,10870,87943400,0.012412679
Albania,10596,2895947,0.000408745
Saint Vincent and the Grenadines,10560,109000,1.53847E-05
Namibia,10234,2113077,0.000298248
Indonesia,9635,255461700,0.036056874
Sri Lanka,9583,20359439,0.002873612
Bosnia and Herzegovina,9563,3791622,0.000535165
Mongolia,9293,3000000,0.000423432
Kosovo,8866,1816891,0.000256443
Ukraine,8651,42953889,0.006062682
Jamaica,8487,2717991,0.000383628
Paraguay,8064,6893727,0.000973008
Belize,8014,349728,4.9362E-05
Angola,7978,24383301,0.003441556
Fiji,7838,859178,0.000121268
El Salvador,7783,6401240,0.000903496
Swaziland,7646,1106189,0.000156132
Morocco,7356,33512300,0.004730059
Guatemala,7290,15806675,0.002231017
Bhutan,7197,756790,0.000106816
Georgia,7156,4490500,0.000633807
