"PersonID","LocationID","TimeInt","Gender","Helmet","Passenger","OnSidewalk"
"1",1,"07:30:00","Female","Yes","No","No"
"2",1,"07:30:00","Male","No","No","No"
"3",1,"07:45:00","Male","Yes","No","No"
"4",1,"08:00:00","Male","Yes","No","No"
"5",1,"08:00:00","Female","Yes","No","No"
"6",1,"08:45:00","Female","No","No","No"
"7",1,"08:45:00","Female","No","No","No"
"8",1,"08:45:00","Male","Yes","No","No"
"9",1,"08:45:00","Male","No","No","No"
"10",1,"08:45:00","Female","No","No","No"
"11",1,"09:00:00","Female","No","No","No"
"12",1,"09:00:00","Male","No","No","No"
"13",1,"09:00:00","Female","No","No","No"
"14",1,"09:00:00","Female","Yes","No","No"
"15",1,"09:15:00","Female","Yes","No","No"
"16",1,"09:30:00","Male","No","No","No"
"17",1,"09:30:00","Female","No","No","No"
"18",1,"09:45:00","Male","No","No","No"
"19",1,"09:45:00","Female","Yes","No","No"
"20",1,"10:15:00","Male","No","No","No"
"21",1,"10:15:00","Male","No","No","No"
"22",1,"10:30:00","Male","No","No","No"
"23",1,"10:30:00","Female","No","No","No"
"24",1,"10:30:00","Female","Yes","No","No"
"25",1,"10:45:00","Male","No","No","No"
"26",1,"10:45:00","Male","Yes","No","No"
"27",1,"11:00:00","Male","No","No","No"
"28",1,"11:15:00","Male","No","No","No"
"29",1,"11:15:00","Male","No","No","No"
"30",1,"11:15:00","Male","Yes","No","No"
"31",1,"11:15:00","Male","Yes","No","No"
"32",1,"11:30:00","Male","No","No","No"
"33",1,"11:45:00","Female","No","No","No"
"34",1,"12:00:00","Male","No","No","No"
"35",1,"12:00:00","Female","Yes","No","No"
"36",1,"12:15:00","Male","Yes","No","No"
"37",1,"12:15:00","Male","No","No","No"
"38",1,"12:30:00","Male","No","No","No"
"39",1,"12:30:00","Female","Yes","No","No"
"40",1,"12:30:00","Female","No","No","No"
"41",1,"12:45:00","Male","No","No","No"
"42",1,"13:00:00","Female","No","No","No"
"43",1,"13:15:00","Male","No","No","No"
"44",1,"13:30:00","Male","Yes","No","No"
"45",1,"13:30:00","Female","Yes","No","No"
"46",1,"13:30:00","Male","Yes","No","No"
"47",1,"13:30:00","Male","No","No","No"
"48",1,"13:30:00","Male","Yes","No","No"
"49",1,"13:30:00","Male","No","No","No"
"50",1,"13:30:00","Female","Yes","No","No"
"51",1,"13:30:00","Female","Yes","No","No"
"52",1,"13:45:00","Female","No","No","No"
"53",1,"13:45:00","Male","No","No","No"
"54",1,"14:00:00","Male","Yes","No","No"
"55",1,"14:00:00","Male","Yes","No","No"
"56",1,"14:00:00","Male","No","No","No"
"57",1,"14:00:00","Male","Yes","No","No"
"58",1,"14:00:00","Female","No","No","No"
"59",1,"14:00:00","Male","No","No","No"
"60",1,"14:15:00","Male","No","No","No"
"61",1,"14:15:00","Male","Yes","Yes","No"
"62",1,"14:15:00","Female","Yes","No","No"
"63",1,"14:15:00","Male","No","No","No"
"64",1,"14:15:00","Female","No","No","No"
"65",1,"14:45:00","Female","No","No","No"
"66",1,"14:45:00","Male","No","No","No"
"67",1,"14:45:00","Male","No","No","No"
"68",1,"14:45:00","Male","Yes","No","No"
"69",1,"14:45:00","Male","No","No","No"
"70",1,"15:00:00","Male","Yes","No","No"
"71",1,"15:00:00","Female","No","No","No"
"72",1,"15:00:00","Male","No","No","No"
"73",1,"15:00:00","Male","No","No","No"
"74",1,"15:00:00","Male","Yes","No","No"
"75",1,"15:15:00","Female","No","No","No"
"76",1,"15:15:00","Female","No","No","No"
"77",1,"15:15:00","Male","Yes","No","No"
"78",1,"15:30:00","Male","No","No","No"
"79",1,"15:30:00","Female","No","No","No"
"80",1,"15:30:00","Female","No","No","No"
"81",1,"15:30:00","Female","Yes","No","No"
"82",1,"15:30:00","Male","Yes","No","No"
"83",1,"15:45:00","Male","No","No","No"
"84",1,"15:45:00","Male","No","No","No"
"85",1,"15:45:00","Female","Yes","No","No"
"86",1,"15:45:00","Female","No","No","No"
"87",1,"15:45:00","Male","No","No","No"
"88",1,"15:45:00","Male","No","No","No"
"89",1,"16:00:00","Male","No","No","No"
"90",1,"16:00:00","Female","No","No","No"
"91",1,"16:00:00","Male","No","No","No"
"92",1,"16:00:00","Male","No","No","No"
"93",1,"16:00:00","Female","No","No","No"
"94",1,"16:00:00","Male","No","No","No"
"95",1,"16:00:00","Male","No","No","No"
"96",1,"16:00:00","Male","Yes","No","No"
"97",1,"16:00:00","Female","Yes","No","No"
"98",1,"16:15:00","Male","No","No","No"
"99",1,"16:15:00","Male","Yes","No","No"
"100",1,"16:15:00","Male","Yes","No","No"
"101",1,"16:15:00","Male","No","No","No"
"102",1,"16:30:00","Male","No","No","No"
"103",1,"16:30:00","Female","No","No","No"
"104",1,"16:30:00","Female","No","No","No"
"105",1,"16:30:00","Male","No","No","No"
"106",1,"16:30:00","Female","No","No","No"
"107",1,"16:30:00","Male","No","No","No"
"108",1,"16:30:00","Male","Yes","No","No"
"109",1,"16:30:00","Male","Yes","No","No"
"110",1,"16:30:00","Female","Yes","No","No"
"111",1,"16:45:00","Male","Yes","No","No"
"112",1,"16:45:00","Male","No","No","No"
"113",1,"16:45:00","Female","No","No","No"
"114",1,"16:45:00","Female","Yes","No","No"
"115",1,"16:45:00","Female","Yes","No","No"
"116",1,"16:45:00","Male","No","No","No"
"117",1,"16:45:00","Male","Yes","No","No"
"118",1,"16:45:00","Female","No","No","No"
"119",1,"16:45:00","Male","Yes","No","No"
"120",1,"16:45:00","Female","No","No","No"
"121",1,"17:00:00","Male","Yes","No","No"
"122",1,"17:00:00","Male","Yes","No","No"
"123",1,"17:00:00","Male","No","No","No"
"124",1,"17:00:00","Female","No","No","No"
"125",1,"17:00:00","Male","Yes","No","No"
"126",1,"17:00:00","Male","Yes","No","No"
"127",1,"17:00:00","Female","Yes","No","No"
"128",1,"17:00:00","Female","Yes","No","No"
"129",1,"17:00:00","Female","Yes","No","No"
"130",1,"17:00:00","Female","No","No","No"
"131",1,"17:00:00","Female","Yes","No","No"
"132",1,"17:15:00","Male","No","No","No"
"133",1,"17:15:00","Male","No","No","No"
"134",1,"17:15:00","Female","Yes","No","No"
"135",1,"17:15:00","Male","No","No","No"
"136",1,"17:15:00","Female","Yes","No","No"
"137",1,"17:15:00","Male","Yes","No","No"
"138",1,"17:15:00","Female","No","No","No"
"139",1,"17:15:00","Female","Yes","No","No"
"140",1,"17:30:00","Female","Yes","No","No"
"141",1,"17:30:00","Female","No","No","No"
"142",1,"17:30:00","Male","No","No","No"
"143",1,"17:30:00","Male","No","No","No"
"144",1,"17:30:00","Male","No","No","No"
"145",1,"17:30:00","Male","No","No","No"
"146",1,"17:30:00","Male","Yes","No","No"
"147",1,"17:30:00","Female","No","Yes","No"
"148",1,"17:30:00","Female","No","Yes","No"
"149",1,"17:30:00","Male","Yes","Yes","No"
"150",1,"17:30:00","Male","No","No","No"
"151",1,"17:30:00","Female","Yes","No","No"
"152",1,"17:30:00","Female","No","Yes","No"
"153",1,"17:30:00","Female","Yes","No","No"
"154",1,"17:30:00","Male","No","No","No"
"155",1,"17:30:00","Male","No","No","No"
"156",1,"17:45:00","Female","Yes","No","No"
"157",1,"17:45:00","Female","No","No","No"
"158",1,"17:45:00","Female","No","No","No"
"159",1,"17:45:00","Female","No","No","No"
"160",1,"17:45:00","Female","No","No","No"
"161",1,"17:45:00","Female","Yes","No","No"
"162",1,"17:45:00","Male","No","No","No"
"163",1,"17:45:00","Male","Yes","No","No"
"164",1,"17:45:00","Male","Yes","No","No"
"165",1,"17:45:00","Male","No","No","No"
"166",1,"18:00:00","Male","No","No","No"
"167",1,"18:00:00","Female","No","No","No"
"168",1,"18:00:00","Male","Yes","No","No"
"169",1,"18:00:00","Female","No","No","No"
"170",1,"18:00:00","Male","No","No","No"
"171",1,"18:00:00","Male","No","No","No"
"172",1,"18:00:00","Male","No","No","No"
"173",1,"18:00:00","Female","Yes","No","No"
"174",1,"18:00:00","Male","Yes","No","No"
"175",1,"18:15:00","Male","Yes","No","No"
"176",1,"18:15:00","Male","No","No","No"
"177",1,"18:15:00","Female","Yes","No","No"
"178",1,"18:15:00","Male","No","No","No"
"179",1,"18:15:00","Female","No","No","No"
"180",1,"18:15:00","Female","Yes","No","No"
"181",1,"18:15:00","Male","Yes","No","No"
"182",1,"18:15:00","Male","No","No","No"
"183",1,"18:15:00","Male","No","No","No"
"184",1,"18:15:00","Female","Yes","No","No"
"185",1,"18:15:00","Male","No","No","No"
"186",1,"18:15:00","Male","No","No","No"
"187",1,"18:15:00","Male","No","No","No"
"188",1,"18:30:00","Male","Yes","No","No"
"189",1,"18:30:00","Female","No","No","No"
"190",1,"18:30:00","Male","No","No","No"
"191",1,"18:30:00","Female","No","No","No"
"192",1,"18:30:00","Female","Yes","No","No"
"193",1,"18:30:00","Male","No","No","No"
"194",1,"18:30:00","Male","Yes","No","No"
"195",1,"18:30:00","Male","Yes","No","No"
"196",1,"18:45:00","Female","No","Yes","No"
"197",1,"18:45:00","Female","No","No","No"
"198",1,"18:45:00","Female","No","No","No"
"199",1,"18:45:00","Male","No","No","No"
"200",1,"18:45:00","Male","Yes","No","No"
"201",1,"18:45:00","Male","Yes","No","No"
"202",1,"18:45:00","Female","No","No","No"
"203",1,"18:45:00","Female","Yes","No","No"
"204",1,"18:45:00","Male","Yes","No","No"
"205",2,"07:15:00","Female","No","No","No"
"206",2,"07:15:00","Male","No","No","No"
"207",2,"07:30:00","Female","Yes","No","No"
"208",2,"07:30:00","Female","Yes","No","No"
"209",2,"07:30:00","Female","Yes","No","No"
"210",2,"07:30:00","Male","No","No","No"
"211",2,"07:45:00","Female","Yes","No","No"
"212",2,"07:45:00","Male","Yes","No","No"
"213",2,"07:45:00","Female","No","No","No"
"214",2,"07:45:00","Male","Yes","No","No"
"215",2,"07:45:00","Male","No","No","No"
"216",2,"07:45:00","Female","No","No","No"
"217",2,"07:45:00","Male","No","No","No"
"218",2,"07:45:00","Female","No","Yes","No"
"219",2,"08:00:00","Female","Yes","No","No"
"220",2,"08:00:00","Male","No","No","No"
"221",2,"08:00:00","Male","No","No","No"
