"Date","MaxTemp","MinTemp","MeanTemp","TotalPrecip"
"2010-01-01",1.90,-9.90,-4.00,1.30
"2010-01-02",-9.70,-16.50,-13.10,0.00
"2010-01-03",-9.30,-14.70,-12.00,2.30
"2010-01-04",-6.70,-12.00,-9.40,0.00
"2010-01-05",-3.60,-10.40,-7.00,2.90
"2010-01-06",-1.90,-8.90,-5.40,0.00
"2010-01-07",-2.60,-6.00,-4.30,0.00
"2010-01-08",-6.00,-11.40,-8.70,1.40
"2010-01-09",-8.60,-14.00,-11.30,0.00
"2010-01-10",-1.70,-12.10,-6.90,0.00
"2010-01-11",-3.30,-6.50,-4.90,0.60
"2010-01-12",-4.30,-7.30,-5.80,0.00
"2010-01-13",0.80,-5.20,-2.20,0.00
"2010-01-14",4.60,-3.10,0.80,0.00
"2010-01-15",4.70,2.30,3.50,0.00
"2010-01-16",2.90,-0.60,1.20,0.00
"2010-01-17",3.00,-0.40,1.30,0.00
"2010-01-18",2.30,-1.00,0.70,0.00
"2010-01-19",2.30,-2.00,0.20,0.00
"2010-01-20",-1.00,-5.40,-3.20,0.00
"2010-01-21",0.90,-5.90,-2.50,0.00
"2010-01-22",2.60,-1.20,0.70,0.00
"2010-01-23",2.60,-3.80,-0.60,0.00
"2010-01-24",6.00,1.80,3.90,0.00
"2010-01-25",7.90,1.20,4.60,11.30
"2010-01-26",1.50,-0.70,0.40,0.00
"2010-01-27",-0.60,-4.30,-2.50,0.00
"2010-01-28",-3.00,-13.70,-8.40,0.70
"2010-01-29",-9.60,-17.00,-13.30,0.00
"2010-01-30",-8.80,-18.00,-13.40,0.00
"2010-01-31",-3.90,-10.70,-7.30,0.00
"2010-02-01",-2.20,-8.80,-5.50,0.00
"2010-02-02",-1.30,-7.00,-4.20,2.30
"2010-02-03",1.40,-4.20,-1.40,0.00
"2010-02-04",1.30,-6.30,-2.50,0.00
"2010-02-05",0.70,-6.10,-2.70,0.00
"2010-02-06",-4.30,-11.20,-7.80,0.00
"2010-02-07",-2.30,-10.80,-6.60,0.00
"2010-02-08",0.80,-9.00,-4.10,0.00
"2010-02-09",-3.00,-6.90,-5.00,0.70
"2010-02-10",-1.60,-7.00,-4.30,2.00
"2010-02-11",0.40,-8.30,-4.00,0.00
"2010-02-12",0.60,-7.10,-3.30,0.00
"2010-02-13",-1.30,-8.10,-4.70,0.00
"2010-02-14",0.30,-3.20,-1.50,0.00
"2010-02-15",-0.50,-2.60,-1.60,0.00
"2010-02-16",0.80,-3.20,-1.20,0.00
"2010-02-17",1.30,-2.50,-0.60,1.80
"2010-02-18",2.00,-1.40,0.30,0.00
"2010-02-19",4.00,-0.30,1.90,0.00
"2010-02-20",5.10,-1.80,1.70,0.00
"2010-02-21",5.30,-3.80,0.80,0.00
"2010-02-22",1.30,-2.90,-0.80,6.20
"2010-02-23",1.60,-0.60,0.50,1.50
"2010-02-24",0.90,-2.10,-0.60,0.00
"2010-02-25",-1.30,-6.90,-4.10,3.20
"2010-02-26",2.10,-6.40,-2.20,7.80
"2010-02-27",3.60,0.80,2.20,3.90
"2010-02-28",5.40,1.40,3.40,0.00
"2010-03-01",4.20,-0.20,2.00,0.00
"2010-03-02",4.30,-1.50,1.40,0.00
"2010-03-03",5.80,-0.70,2.60,0.00
"2010-03-04",4.70,-1.80,1.50,0.00
"2010-03-05",5.00,-2.70,1.20,0.00
"2010-03-06",8.80,-1.50,3.70,0.00
"2010-03-07",12.00,0.70,6.40,0.00
"2010-03-08",15.50,1.70,8.60,0.00
"2010-03-09",12.80,2.70,7.80,0.00
"2010-03-10",8.90,2.30,5.60,0.00
"2010-03-11",11.30,6.20,8.80,0.00
"2010-03-12",7.20,5.40,6.30,16.80
"2010-03-13",7.20,4.50,5.90,21.70
"2010-03-14",7.00,3.60,5.30,2.80
"2010-03-15",12.10,4.00,8.10,0.00
"2010-03-16",14.90,5.80,10.40,0.00
"2010-03-17",16.70,5.50,11.10,0.00
"2010-03-18",19.60,6.60,13.10,0.00
"2010-03-19",16.40,6.10,11.30,0.00
"2010-03-20",7.20,0.70,4.00,0.00
"2010-03-21",5.30,0.10,2.70,0.00
"2010-03-22",8.60,2.40,5.50,3.00
"2010-03-23",4.80,2.00,3.40,12.50
"2010-03-24",14.60,0.30,7.50,0.00
"2010-03-25",10.10,-1.60,4.30,0.00
"2010-03-26",0.30,-5.60,-2.70,0.00
"2010-03-27",3.70,-3.40,0.20,0.00
"2010-03-28",6.60,3.70,5.20,4.60
"2010-03-29",9.50,3.00,6.30,0.60
"2010-03-30",12.10,1.90,7.00,0.00
"2010-03-31",15.20,3.70,9.50,0.00
"2010-04-01",18.30,7.30,12.80,0.00
"2010-04-02",24.30,10.70,17.50,0.00
"2010-04-03",21.20,12.40,16.80,0.00
"2010-04-04",17.80,9.00,13.40,0.00
"2010-04-05",23.80,11.40,17.60,0.00
"2010-04-06",14.40,9.10,11.80,5.10
"2010-04-07",17.20,7.80,12.50,15.20
"2010-04-08",11.10,5.00,8.10,9.00
"2010-04-09",5.00,2.30,3.70,0.00
"2010-04-10",13.10,1.70,7.40,0.00
"2010-04-11",16.30,5.80,11.10,0.00
"2010-04-12",14.00,5.80,9.90,0.00
"2010-04-13",14.90,6.50,10.70,0.00
"2010-04-14",16.50,6.20,11.40,0.00
"2010-04-15",20.10,8.70,14.40,0.00
"2010-04-16",22.30,5.90,14.10,0.00
"2010-04-17",8.90,3.80,6.40,0.00
"2010-04-18",15.30,4.90,10.10,0.00
"2010-04-19",17.30,5.20,11.30,0.00
"2010-04-20",18.10,6.00,12.10,0.00
"2010-04-21",18.50,4.60,11.60,0.00
"2010-04-22",13.00,3.60,8.30,0.00
"2010-04-23",12.60,3.80,8.20,0.00
"2010-04-24",16.80,7.60,12.20,0.00
"2010-04-25",13.10,9.90,11.50,0.00
"2010-04-26",16.60,7.10,11.90,0.00
"2010-04-27",11.10,3.90,7.50,0.00
"2010-04-28",14.30,5.00,9.70,0.00
"2010-04-29",19.70,5.70,12.70,0.00
"2010-04-30",19.50,12.20,15.90,0.00
"2010-05-01",22.20,13.00,17.60,1.10
"2010-05-02",24.20,14.60,19.40,0.00
"2010-05-03",25.40,15.00,20.20,0.70
"2010-05-04",21.90,14.40,18.20,0.00
"2010-05-05",24.60,12.30,18.50,5.60
"2010-05-06",15.80,8.50,12.20,0.00
"2010-05-07",,7.50,,
"2010-05-08",12.60,2.40,7.50,1.70
"2010-05-09",10.60,2.00,6.30,0.00
"2010-05-10",,,,
"2010-05-11",10.40,6.50,8.50,0.60
"2010-05-12",10.80,6.10,8.50,0.60
"2010-05-13",10.80,5.50,8.20,4.50
"2010-05-14",21.90,8.00,15.00,0.00
"2010-05-15",15.10,9.10,12.10,0.00
"2010-05-16",20.00,9.50,14.80,0.00
"2010-05-17",20.50,11.30,15.90,0.00
"2010-05-18",19.70,13.50,16.60,0.00
"2010-05-19",25.10,11.50,18.30,0.00
"2010-05-20",27.70,13.20,20.50,0.00
"2010-05-21",20.20,16.30,18.30,0.00
"2010-05-22",20.90,16.30,18.60,0.00
"2010-05-23",24.70,15.50,20.10,0.00
"2010-05-24",27.20,16.60,21.90,0.00
"2010-05-25",29.10,17.00,23.10,0.00
"2010-05-26",30.60,19.60,25.10,0.00
"2010-05-27",29.70,20.20,25.00,0.00
"2010-05-28",25.90,19.20,22.60,0.00
"2010-05-29",27.30,18.10,22.70,0.00
"2010-05-30",28.60,15.50,22.10,0.00
"2010-05-31",27.10,17.10,22.10,3.20
"2010-06-01",29.10,18.60,23.90,5.40
"2010-06-02",26.30,17.10,21.70,26.20
"2010-06-03",20.90,17.30,19.10,5.80
"2010-06-04",24.20,15.60,19.90,2.30
"2010-06-05",26.60,16.40,21.50,2.50
"2010-06-06",19.30,12.10,15.70,18.90
"2010-06-07",19.70,12.00,15.90,0.00
"2010-06-08",21.30,10.00,15.70,0.00
"2010-06-09",16.10,12.80,14.50,8.20
"2010-06-10",21.60,13.00,17.30,0.00
"2010-06-11",23.70,13.80,18.80,0.00
"2010-06-12",18.60,15.70,17.20,1.20
"2010-06-13",21.30,17.40,19.40,0.00
"2010-06-14",26.40,16.80,21.60,0.00
"2010-06-15",22.60,15.60,19.10,0.00
"2010-06-16",26.60,15.10,20.90,14.40
"2010-06-17",24.40,13.90,19.20,0.00
"2010-06-18",26.10,14.70,20.40,0.00
"2010-06-19",28.60,19.70,24.20,0.60
"2010-06-20",28.20,18.80,23.50,0.00
"2010-06-21",26.20,17.50,21.90,0.00
"2010-06-22",24.80,18.90,21.90,10.00
"2010-06-23",28.70,18.20,23.50,0.00
"2010-06-24",27.70,18.80,23.30,0.00
"2010-06-25",26.20,16.30,21.30,0.00
"2010-06-26",21.60,17.90,19.80,6.70
"2010-06-27",23.90,17.80,20.90,44.90
"2010-06-28",30.80,17.60,24.20,0.60
"2010-06-29",21.40,12.60,17.00,0.00
"2010-06-30",21.30,10.70,16.00,0.00
"2010-07-01",22.40,12.30,17.40,0.00
"2010-07-02",24.40,14.50,19.50,0.00
"2010-07-03",28.90,15.60,22.30,0.00
"2010-07-04",30.50,17.20,23.90,0.00
"2010-07-05",34.20,21.30,27.80,0.00
"2010-07-06",33.00,23.10,28.10,0.00
"2010-07-07",33.20,22.90,28.10,0.00
"2010-07-08",34.10,24.60,29.40,0.00
"2010-07-09",26.50,19.80,23.20,34.60
"2010-07-10",28.90,18.50,23.70,0.00
"2010-07-11",28.80,17.60,23.20,0.00
"2010-07-12",26.20,20.80,23.50,0.00
"2010-07-13",28.50,21.40,25.00,0.00
"2010-07-14",27.40,21.80,24.60,0.00
"2010-07-15",28.90,20.90,24.90,0.00
"2010-07-16",30.70,23.30,27.00,0.00
"2010-07-17",29.60,20.60,25.10,0.00
"2010-07-18",27.20,17.80,22.50,0.00
"2010-07-19",27.40,19.70,23.60,1.80
"2010-07-20",27.30,19.10,23.20,0.00
"2010-07-21",30.90,19.90,25.40,0.00
"2010-07-22",28.20,19.70,24.00,0.00
"2010-07-23",30.80,18.20,24.50,31.60
"2010-07-24",26.80,21.00,23.90,0.00
"2010-07-25",26.60,19.60,23.10,0.00
"2010-07-26",28.80,17.70,23.30,0.00
"2010-07-27",28.90,17.80,23.40,0.00
"2010-07-28",32.00,19.60,25.80,7.00
"2010-07-29",25.60,17.60,21.60,0.00
"2010-07-30",24.10,16.50,20.30,0.00
"2010-07-31",23.80,16.70,20.30,0.00
"2010-08-01",25.30,19.10,22.20,0.00
"2010-08-02",27.20,19.10,23.20,0.00
"2010-08-03",30.50,21.30,25.90,0.00
"2010-08-04",31.60,22.00,26.80,0.00
"2010-08-05",31.70,20.20,26.00,0.00
"2010-08-06",24.40,14.90,19.70,0.00
"2010-08-07",24.30,13.00,18.70,0.00
"2010-08-08",26.20,18.90,22.60,0.00
"2010-08-09",28.10,20.30,24.20,9.30
"2010-08-10",29.80,21.10,25.50,0.00
"2010-08-11",27.90,21.50,24.70,0.00
"2010-08-12",26.70,22.10,24.40,0.00
