"CaseNo","SegID","MilePost","Month","Day","Time","Weekday","Impact","Weather","SurfCond","Light","Severity","Fire"
"2002033658",643,103.16,"11","08","1719","5","A1","3","2","4",1,"0"
"2002033662",888,134.12,"10","31","1604","4","A1","1","1","1",1,"0"
"2002033673",1278,166.56,"10","12","1538","6","A3","1","1","1",7,"0"
"2002033687",4120,3.40,"10","09","1603","3","A1","1","1","1",1,"0"
"2002033695",4099,0.50,"10","15","1730","2","D1","1","1","3",7,"0"
"2002033703",3921,15.78,"09","20","0745","5","D3","1","1","1",1,"0"
"2002033706",3851,12.20,"09","21","1155","6","D2","1","1","1",7,"0"
"2002033707",3865,13.08,"09","04","1146","3","A4","2","1","1",1,"0"
"2002033708",3797,7.40,"09","18","0621","3","A1","1","1","1",1,"0"
"2002033712",3929,16.48,"09","18","1729","3","A2","1","1","1",7,"0"
"2002033714",3750,3.96,"09","14","1420","6","D2","1","1","1",7,"0"
"2002033717",3748,3.65,"09","10","1630","2","D1","1","1","1",1,"0"
"2002033718",3690,0.13,"09","05","1830","4","A2","1","1","1",1,"0"
"2002033720",3776,5.25,"09","11","0710","3","A1","1","1","1",1,"0"
"2002033722",3755,4.28,"09","17","1230","2","D1","1","1","1",1,"0"
"2002033723",3787,6.41,"09","18","1000","3","A1","1","1","1",1,"0"
"2002033724",3726,2.21,"09","19","1045","4","A1","1","1","1",1,"0"
"2002033735",1328,171.06,"11","06","1230","3","D1","3","2","1",1,"0"
"2002033772",4079,29.72,"09","03","0840","2","D3","2","2","1",1,"0"
"2002033775",1451,181.95,"10","22","2001","2","A1","1","1","4",7,"0"
"2002033793",3712,1.06,"11","30","1630","6","A1","5","1","4",1,"0"
"2002033794",1175,161.17,"10","15","0750","2","A1","1","1","1",1,"0"
"2002033799",3709,0.95,"11","25","1033","1","A1","1","1","1",7,"0"
"2002033804",3788,6.49,"11","12","1220","2","D2","3","2","1",7,"0"
"2002033807",3703,0.76,"11","10","1520","7","D2","3","2","1",1,"0"
"2002033982",871,132.68,"10","13","1750","7","A1","1","1","1",1,"0"
"2002034021",1322,170.65,"11","08","1517","5","A3","1","1","1",1,"0"
"2002034031",1002,146.83,"10","11","1337","5","D2","1","1","1",7,"0"
"2002034032",1000,146.67,"10","11","1453","5","D4","1","1","1",7,"0"
"2002034033",972,143.87,"10","16","1632","3","D1","1","1","1",1,"0"
"2002034034",972,143.87,"10","16","1631","3","D1","1","1","1",1,"0"
"2002034083",1308,169.40,"09","25","1314","3","D1","1","1","1",1,"0"
"2002034095",1549,192.52,"11","12","1704","2","A2","2","1","5",1,"0"
"2002034138",1422,179.75,"11","02","1610","6","A1","1","1","1",1,"0"
"2002034139",1534,191.27,"11","04","1635","1","A3","1","1","3",1,"0"
"2002034150",1496,186.99,"10","11","1450","5","A1","1","1","1",7,"0"
"2002034154",1037,149.95,"10","12","1350","6","A4","1","1","1",7,"0"
"2002034169",1000,146.77,"10","15","0720","2","A4","1","1","1",1,"0"
"2002034193",1069,153.19,"11","18","1529","1","D4","2","1","1",7,"0"
"2002034201",3707,0.85,"11","25","1820","1","A2","1","1","4",7,"0"
"2002034202",1538,191.87,"10","16","1520","3","A3","1","1","1",1,"0"
"2002034212",1585,194.49,"10","18","1211","5","D4","2","1","1",1,"0"
"2002034214",4133,4.45,"10","01","0958","2","D3","1","1","1",1,"0"
"2002034216",3857,12.75,"11","16","1400","6","A4","3","2","1",7,"0"
"2002034270",1395,177.61,"11","13","0815","3","D3","2","1","1",1,"0"
"2002034274",1524,189.47,"11","07","1458","4","A3","3","2","1",7,"0"
"2002034275",1525,189.65,"11","08","1648","5","A4","2","1","1",1,"0"
"2002034317",3828,10.47,"11","20","1430","3","D2","1","1","1",1,"0"
"2002034344",4199,7.23,"10","04","1552","5","D2","2","1","1",1,"0"
"2002034347",456,72.12,"11","27","1545","3","D2","1","1","1",7,"0"
"2002034348",503,77.57,"11","27","1645","3","D2","1","1","6",1,"0"
"2002034372",4188,6.96,"10","24","1850","4","A1","1","1","4",1,"0"
"2002034377",4183,6.90,"11","15","1920","5","D2","2","2","4",1,"0"
"2002034382",4285,12.35,"11","13","1755","3","A2","3","2","4",1,"0"
"2002034385",4117,2.70,"11","03","1845","7","D1","1","1","6",1,"0"
"2002034386",3920,15.49,"11","15","1700","5","A3","2","1","1",7,"0"
"2002034387",4181,6.80,"11","21","1820","4","D2","2","1","4",1,"0"
"2002034389",4117,1.81,"11","16","1308","6","D2","3","2","1",1,"0"
"2002034390",3981,20.94,"11","26","0800","2","D3","1","1","1",1,"0"
"2002034391",4201,7.28,"10","03","1851","4","D2","3","2","4",1,"0"
"2002034393",4117,3.00,"10","10","1955","4","D1","1","1","4",7,"0"
"2002034395",1112,155.40,"10","10","1732","4","D5","2","1","1",1,"0"
"2002034403",1299,168.41,"11","26","0659","2","D4","2","1","2",1,"0"
"2002034405",1297,168.33,"10","10","2125","4","A2","2","1","4",7,"0"
"2002034406",1335,171.71,"10","11","1928","5","D4","1","1","4",1,"0"
"2002034407",1300,168.82,"11","20","1816","3","D4","2","2","4",7,"0"
"2002034409",1084,154.18,"11","18","1411","1","A2","3","2","1",7,"0"
"2002034411",4094,0.10,"11","09","0731","6","D2","2","2","1",1,"0"
"2002034412",4097,0.29,"10","08","2220","2","D1","1","1","4",1,"0"
"2002034419",4117,1.80,"11","23","2001","6","A2","1","1","4",1,"0"
"2002034421",3914,15.09,"11","11","1729","1","A3","1","2","4",7,"0"
"2002034426",3950,18.06,"11","08","1726","5","A4","2","1","4",1,"0"
"2002034427",3950,18.07,"11","08","1727","5","A4","2","1","4",1,"0"
"2002034429",4033,24.26,"11","14","1720","4","D2","2","1","4",1,"0"
"2002034430",4117,1.80,"11","21","2318","4","D2","1","1","4",1,"0"
"2002034441",4148,5.27,"11","15","1544","5","D2","2","1","1",1,"0"
"2002034442",673,105.70,"11","19","0835","2","A1","3","2","1",1,"0"
"2002034451",857,131.20,"10","15","0749","2","A4","1","1","1",7,"0"
"2002034452",882,133.65,"10","16","0757","3","A3","1","1","1",1,"0"
"2002034453",938,139.13,"10","07","0550","1","A4","1","1","6",1,"0"
"2002034473",3690,0.11,"11","16","1556","6","A3","2","2","1",1,"0"
"2002034474",986,145.01,"10","18","1654","5","D3","1","1","1",1,"0"
"2002034475",3693,0.23,"11","19","0527","2","A2","3","2","4",7,"0"
"2002034482",675,106.15,"11","27","1826","3","D3","2","1","4",1,"0"
"2002034495",4120,3.96,"11","19","1717","2","A2","3","2","3",7,"0"
"2002034504",1380,176.13,"11","16","1155","6","D2","3","2","1",1,"0"
"2002034508",1213,163.06,"11","21","0805","4","A4","2","1","1",1,"0"
"2002034509",4093,0.03,"11","01","1150","5","D1","1","1","1",1,"0"
"2002034515",4193,7.06,"10","04","1545","5","A2","2","1","1",1,"0"
"2002034521",1395,177.66,"10","16","0921","3","D3","1","1","1",1,"0"
"2002034522",4117,2.73,"10","24","0750","4","D2","5","1","1",1,"0"
"2002034526",1015,148.61,"11","02","1000","6","D2","1","1","1",1,"0"
"2002034529",1009,147.37,"10","10","2138","4","D2","2","1","4",1,"0"
"2002034530",1078,153.86,"10","15","1522","2","A2","1","1","1",1,"0"
"2002034535",4282,12.15,"11","14","2250","4","A2","1","1","6",1,"0"
"2002034541",4225,8.88,"10","31","1748","4","A3","1","1","4",1,"0"
"2002034542",4197,7.16,"10","03","1713","4","D2","2","2","1",7,"0"
"2002034545",4151,5.52,"10","15","1640","2","D2","1","1","1",7,"0"
"2002034565",1539,192.06,"10","12","1235","6","A3","1","1","1",1,"0"
"2002034569",1463,182.80,"10","21","0740","1","D1","1","1","1",7,"0"
"2002034570",1478,184.48,"10","14","1710","1","A1","1","1","1",1,"0"
"2002034573",1421,179.70,"10","10","0840","4","D1","1","2","1",6,"0"
"2002034576",1436,180.63,"10","10","1552","4","D1","1","1","1",1,"0"
"2002034578",1538,191.97,"10","12","1220","6","A3","1","1","1",1,"0"
"2002034580",1580,194.07,"10","11","1558","5","A3","1","1","1",1,"0"
"2002034610",849,129.56,"11","27","1726","3","D1","1","1","4",6,"0"
"2002034611",840,128.48,"11","27","1815","3","D4","1","1","4",7,"0"
"2002034612",1282,166.97,"11","27","1713","3","D2","1","1","4",7,"0"
"2002034614",4121,3.98,"11","24","0256","7","A2","1","1","5",1,"0"
"2002034615",3772,5.11,"11","09","1810","6","D4","3","2","4",1,"0"
"2002034616",3772,5.07,"11","09","1855","6","D4","3","2","4",1,"0"
"2002034626",3772,5.09,"11","21","1630","4","D4","1","1","4",7,"0"
"2002034633",951,141.06,"11","24","1730","7","D4","1","1","4",7,"0"
"2002034637",3703,0.76,"11","16","1455","6","D2","3","2","1",1,"0"
"2002034646",1159,159.07,"11","07","0903","4","A4","2","2","1",1,"0"
"2002034676",924,137.71,"11","09","1945","6","D4","3","2","4",1,"0"
"2002034684",1474,183.97,"11","20","1800","3","D1","2","1","4",6,"0"
"2002034685",1488,186.48,"11","15","1740","5","A1","2","1","3",7,"0"
"2002034737",1281,166.88,"11","18","1519","1","D4","3","2","1",1,"0"
"2002034752",4202,7.29,"10","25","1845","5","D4","2","1","6",7,"0"
"2002034755",3873,13.55,"11","27","1303","3","A1","1","1","1",1,"0"
"2002034757",4194,7.09,"10","29","1541","2","D2","3","2","1",1,"0"
"2002034760",1068,153.16,"11","16","1401","6","A1","3","2","1",7,"0"
"2002034761",1300,168.94,"11","12","0236","2","D2","3","2","4",1,"0"
"2002034765",4117,2.85,"10","13","1340","7","D2","1","1","1",1,"0"
"2002034767",3957,19.29,"11","15","1706","5","A3","2","1","4",1,"0"
"2002034806",805,122.97,"11","12","0550","2","D2","3","2","4",7,"0"
"2002034812",1068,153.07,"11","16","1150","6","A4","3","2","1",6,"0"
"2002034833",1337,171.85,"11","06","0715","3","D1","3","2","2",1,"0"
"2002034834",1298,168.39,"11","07","2055","4","A2","3","2","4",7,"0"
"2002034835",1291,167.57,"11","06","2018","3","D4","3","2","4",1,"0"
"2002034849",3800,7.69,"11","12","2150","2","A2","3","2","4",7,"0"
"2002034851",1056,152.09,"11","08","0725","5","A4","3","2","1",1,"0"
"2002034852",1056,152.09,"11","08","0725","5","A4","3","2","1",1,"0"
"2002034855",4231,9.00,"10","30","1825","3","D3","1","1","4",1,"0"
"2002034862",1541,192.21,"11","12","1645","2","A2","2","1","3",1,"0"
"2002034866",1567,193.49,"11","26","1615","2","D3","1","1","3",1,"0"
"2002034873",1568,193.60,"11","26","1616","2","D3","1","1","1",1,"0"
"2002034875",1441,180.85,"11","30","1554","6","D4","1","1","7",7,"0"
"2002034882",1591,197.14,"11","15","1630","5","A1","2","1","1",7,"0"
"2002034906",1071,153.31,"11","16","1343","6","A1","3","2","1",7,"0"
"2002034907",3787,6.33,"11","18","1845","1","A1","3","2","4",7,"0"
