"CounterID","Location","Latitude","Longitude","Direction1","Direction2","RoadName"
1,"4500 26th Ave SW, Seattle WA",47.56,-122.36,"N","S","26th Ave SW Greenway"
2,"2nd Ave & Marion St, Seattle WA",47.60,-122.33,"N","S","2nd Ave"
3,"39th Ave NE & NE 62nd St, Seattle WA",47.67,-122.28,"N","S","39th Ave Greenway"
4,"Broadway & E Union St, Seattle WA",47.61,-122.32,"N","S","Broadway"
5,"5808 NE 70th St, Seattle WA",47.67,-122.26,"N","S","Burke-Gilman Trail"
6,"S Thistle & 42nd Ave E, Seattle WA",47.52,-122.28,"N","S","Chief Sealth Trail"
7,"Myrtle Edwards Park, Seattle WA",47.61,-122.36,"N","S","Elliott Bay Trail"
8,"South Day Street Park, Seattle WA",47.59,-122.28,"W","E","Mountain to Sound Trail"
9,"NW 58th St & 22nd Ave NW, Seattle WA",47.67,-122.38,"W","E","NW 58th St Greenway"
10,"SW Spokane Street, Seattle WA",47.57,-122.35,"W","E","West Seattle Bridge Trail"
11,"Fremont Bridge, Seattle WA",47.64,-122.34,"N","S","4th Ave N"
