"Stamp","CounterID","TotalVol","D1Vol","D2Vol"
2015/6/1 0:00:00,1,0,0,0
2015/6/1 1:00:00,1,0,0,0
2015/6/1 2:00:00,1,0,0,0
2015/6/1 3:00:00,1,0,0,0
2015/6/1 4:00:00,1,1,1,0
2015/6/1 5:00:00,1,1,1,0
2015/6/1 6:00:00,1,8,8,0
2015/6/1 7:00:00,1,15,15,0
2015/6/1 8:00:00,1,13,10,3
2015/6/1 9:00:00,1,4,4,0
2015/6/1 10:00:00,1,1,0,1
2015/6/1 11:00:00,1,0,0,0
2015/6/1 12:00:00,1,1,1,0
2015/6/1 13:00:00,1,1,1,0
2015/6/1 14:00:00,1,1,1,0
2015/6/1 15:00:00,1,2,1,1
2015/6/1 16:00:00,1,4,3,1
2015/6/1 17:00:00,1,4,1,3
2015/6/1 18:00:00,1,4,1,3
2015/6/1 19:00:00,1,1,1,0
2015/6/1 20:00:00,1,1,1,0
2015/6/1 21:00:00,1,1,0,1
2015/6/1 22:00:00,1,0,0,0
2015/6/1 23:00:00,1,0,0,0
2015/6/2 0:00:00,1,0,0,0
2015/6/2 1:00:00,1,0,0,0
2015/6/2 2:00:00,1,0,0,0
2015/6/2 3:00:00,1,0,0,0
2015/6/2 4:00:00,1,0,0,0
2015/6/2 5:00:00,1,2,2,0
2015/6/2 6:00:00,1,13,13,0
2015/6/2 7:00:00,1,11,11,0
2015/6/2 8:00:00,1,4,4,0
2015/6/2 9:00:00,1,3,3,0
2015/6/2 10:00:00,1,3,3,0
2015/6/2 11:00:00,1,1,0,1
2015/6/2 12:00:00,1,1,1,0
2015/6/2 13:00:00,1,1,1,0
2015/6/2 14:00:00,1,4,1,3
2015/6/2 15:00:00,1,2,1,1
2015/6/2 16:00:00,1,1,0,1
2015/6/2 17:00:00,1,2,0,2
2015/6/2 18:00:00,1,3,3,0
2015/6/2 19:00:00,1,2,0,2
2015/6/2 20:00:00,1,4,2,2
2015/6/2 21:00:00,1,0,0,0
2015/6/2 22:00:00,1,0,0,0
2015/6/2 23:00:00,1,0,0,0
2015/6/3 0:00:00,1,0,0,0
2015/6/3 1:00:00,1,0,0,0
2015/6/3 2:00:00,1,0,0,0
2015/6/3 3:00:00,1,0,0,0
2015/6/3 4:00:00,1,0,0,0
2015/6/3 5:00:00,1,1,1,0
2015/6/3 6:00:00,1,12,12,0
2015/6/3 7:00:00,1,11,10,1
2015/6/3 8:00:00,1,9,7,2
