REPORT,ACCTYPE,TIME,WEEKDAY,RDSURF,LIGHT,weather,deg_curv,pct_grad,AADT,trkpcts,mvmt,RURURB,MED_TYPE,MEDWID,LSHL_TYP,LSHL_TY2,LSHLDWID,LSHL_WD2,RSHL_TYP,RSHL_TY2,RSHLDWID,RSHL_WD2,SURF_TYP,SURF_TY2,lanewid,rdwy_wid,FUNC_CLS,sex,young,old,drink,truck,old_car
1,33,127,7,2.0,4.0,3,43.74,3.87,23213.0,3.75,0.17,U,O,350,A,A,4,8,C,A,0,8,A,A,13,52,52.0,0,0,0,0,0,1
2,33,2115,4,2.0,3.0,2,43.74,0.19,21132.0,0.0,0.15,U,O,350,A,A,4,8,A,A,10,8,A,A,12,48,52.0,1,0,0,0,0,1
1,33,1829,2,2.0,1.0,3,17.739999999999995,0.19,21132.0,0.0,0.31,U,O,350,A,A,4,8,A,A,10,8,A,A,16,48,52.0,0,1,0,0,0,0
2,33,1815,7,1.0,1.0,1,0.93,2.76,21132.0,0.0,0.23000000000000004,U,O,350,A,C,4,0,A,C,10,0,A,A,18,54,52.0,0,0,0,0,1,0
1,33,151,7,1.0,4.0,1,0.93,2.76,21132.0,0.0,0.23000000000000004,U,O,350,A,C,4,0,A,C,10,0,A,A,18,54,52.0,1,1,0,0,0,0
1,33,1431,1,2.0,1.0,3,0.93,5.0,74427.0,5.44,2.44,U,O,350,W,C,0,0,W,C,0,0,P,A,17,68,52.0,0,1,0,0,0,1
1,33,1457,3,1.0,1.0,1,0.93,3.5,74427.0,5.44,5.16,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,0,0,0,0,0,1
2,33,2355,7,1.0,6.0,5,0.0,3.5,74427.0,5.44,0.8100000000000002,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,1,0,0,0,0,1
2,33,1356,4,1.0,1.0,2,0.0,3.5,74427.0,5.44,0.8100000000000002,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,1,0,0,0,0,0
2,33,1457,3,1.0,1.0,1,0.0,3.5,74427.0,5.44,0.8100000000000002,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,1,0,0,0,0,0
1,33,1015,4,1.0,1.0,1,0.0,0.9399999999999998,74427.0,0.0,2.99,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,0,1,0,0,0,1
1,33,1245,2,1.0,1.0,1,0.0,0.9399999999999998,74427.0,0.0,2.44,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,1,0,0,1,0,0
1,33,1029,6,1.0,1.0,1,0.0,0.14,74427.0,0.0,12.5,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,0,0,0,0,0,0
2,33,1510,4,1.0,1.0,1,0.0,0.14,72714.0,0.0,9.019999999999998,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,1,1,0,0,0,0
1,33,843,2,2.0,1.0,1,0.0,0.22,72882.0,0.0,1.6,U,O,50,W,C,0,0,W,C,0,0,P,A,17,68,52.0,0,0,0,0,0,1
1,33,1052,1,2.0,1.0,3,0.95,3.8,30648.0,0.0,5.71,U,,0,A,,8,0,A,,8,0,A,,12,36,52.0,0,0,0,0,1,0
2,33,1420,7,1.0,1.0,1,0.0,3.16,20489.0,0.0,3.96,U,,0,A,,8,0,A,,8,0,A,,12,24,52.0,1,0,0,0,0,0
1,33,956,5,1.0,1.0,2,0.0,0.19,20489.0,0.0,8.53,U,,0,A,,8,0,A,,8,0,A,,12,24,52.0,0,0,0,0,0,0
1,33,2330,6,2.0,6.0,3,1.0,0.15,25023.0,0.0,6.03,R,,0,A,,8,0,A,,8,0,A,,12,24,43.0,1,0,0,0,1,0
2,33,1929,5,1.0,1.0,1,1.0,0.38,25023.0,0.0,6.03,R,,0,A,,8,0,A,,8,0,A,,12,24,43.0,0,1,0,0,0,0
1,33,918,1,1.0,1.0,2,0.0,0.0,23578.0,0.0,6.63,R,,0,A,,8,0,A,,8,0,A,,12,24,43.0,0,0,0,0,0,0
1,33,844,7,2.0,1.0,1,0.0,0.08,23578.0,0.0,0.6,U,,0,A,,8,0,A,,8,0,A,,12,24,53.0,0,1,0,0,0,1
2,33,206,7,1.0,6.0,1,0.0,0.48,21561.0,0.0,0.08,U,,0,A,,8,0,A,,7,0,A,,12,36,53.0,0,0,0,1,0,0
2,33,1119,6,1.0,1.0,1,1.08,0.48,25273.0,0.0,0.55,U,,0,C,,0,0,A,,6,0,A,,12,60,53.0,0,0,0,0,1,1
2,33,707,5,3.0,4.0,4,0.0,1.0,30530.0,0.0,0.11,U,,0,C,,0,0,C,,0,0,A,,14,56,53.0,1,1,0,0,0,0
