WKT,ADCODE,ID,NAME,DIRDESC,FNAME,TNAME,LENGTH,ROADCLASS
"LINESTRING (116.455207 39.980997,116.455362 39.981217,116.455883 39.981952,116.456392 39.982692,116.456596 39.982982,116.456645 39.983051,116.457095 39.983813,116.457331 39.984178,116.457208 39.98435,116.45716 39.985122,116.457143 39.985771,116.457101 39.986737,116.457095 39.986758,116.457058 39.98744,116.457052 39.987965,116.457074 39.988282,116.45717 39.988824,116.457186 39.988883,116.457251 39.989167,116.457294 39.989328,116.457337 39.989676,116.457342 39.990234,116.457342 39.990497,116.457315 39.991109,116.457315 39.991554,116.457374 39.992493,116.457396 39.992772,116.457422 39.992976,116.457519 39.994376,116.457519 39.994435,116.457546 39.99503,116.457562 39.995341,116.457615 39.996065,116.457648 39.9968,116.457637 39.996994,116.457637 39.997106,116.457648 39.997337,116.457675 39.998056,116.457707 39.998598,116.457782 39.999826,116.457846 40.000786,116.457852 40.000872,116.457868 40.001221,116.457868 40.00129,116.457889 40.001543,116.45797 40.003211,116.45797 40.003275,116.458023 40.00459,116.458039 40.004847,116.458136 40.006945,116.4582 40.007991,116.458195 40.008232)",110000,137,望京西路,由南向北,望京桥,望京西路北口,2985,44000
"LINESTRING (116.45798 40.008575,116.457975 40.008329,116.457975 40.008232,116.45797 40.008001,116.457916 40.006928,116.457894 40.005797,116.45783 40.004686,116.45776 40.003141,116.457685 40.001414,116.457685 40.001366,116.457685 40.00129,116.45768 40.001221,116.457653 40.000872,116.457648 40.000786,116.457621 40.000244,116.457589 39.999295,116.457551 39.998651,116.457546 39.99849,116.457519 39.998056,116.457487 39.997337,116.457476 39.997106,116.457481 39.996994,116.457471 39.996806,116.457444 39.996232,116.457449 39.996076,116.457444 39.995894,116.457396 39.99503,116.45739 39.994998,116.457363 39.994445,116.457358 39.994397,116.457358 39.99429,116.457278 39.992959,116.457261 39.992756,116.457229 39.992493,116.457197 39.992037,116.457176 39.991575,116.457186 39.991114,116.457186 39.991087,116.457202 39.990283,116.457202 39.990234,116.457202 39.989955,116.457197 39.989687,116.457176 39.989473,116.457143 39.989328,116.457106 39.989178,116.457042 39.988872,116.457031 39.988818,116.456945 39.988346,116.456923 39.987987,116.456945 39.986742,116.456945 39.986688,116.456956 39.985659,116.456982 39.985154,116.457004 39.984205,116.456848 39.983684,116.456768 39.983529,116.456301 39.982799,116.455754 39.982005,116.455239 39.981281,116.455089 39.981077)",110000,1000137,望京西路,由北向南,,望京桥,3018,44000
"LINESTRING (116.472716 39.991313,116.47285 39.991447,116.473521 39.992074,116.473666 39.992208,116.474674 39.993115,116.474739 39.993174,116.475533 39.993893,116.476579 39.994842,116.477051 39.995266,116.477587 39.995744,116.477775 39.995915,116.47844 39.996538,116.47859 39.996725,116.478692 39.996881,116.478853 39.997267,116.478891 39.997412,116.478934 39.99775,116.478907 39.998587,116.478902 39.998699,116.478842 39.999681,116.478826 40.000287,116.478783 40.001033,116.478767 40.001221,116.478767 40.001264,116.478724 40.002004,116.478719 40.002095,116.478639 40.003259,116.478623 40.003603,116.478547 40.004885)",110000,1143,阜安西路,由南向北,广顺南大街,河荫中路东口,1630,44000
"LINESTRING (116.478429 40.004901,116.478499 40.003704,116.478515 40.003415,116.478526 40.003259,116.47858 40.002084,116.478585 40.001999,116.478612 40.001264,116.478617 40.001221,116.478644 40.000883,116.478655 40.000738,116.478692 40.000309,116.478783 39.998694,116.4788 39.998331,116.478828 39.997998,116.478828 39.997782,116.478806 39.997515,116.478772 39.997376,116.478716 39.997182,116.478631 39.996984,116.478479 39.996742,116.478242 39.996478,116.477051 39.995384,116.476509 39.994891,116.47571 39.994183,116.474658 39.993228,116.474594 39.993163,116.47358 39.992235,116.473478 39.992133,116.472765 39.991506,116.47262 39.991377)",110000,1001143,阜安西路,由北向南,河荫中路,广顺南大街,1310,44000
"LINESTRING (116.472486 39.994574,116.472679 39.99444,116.473301 39.994006,116.474513 39.993212,116.474749 39.993061,116.475474 39.992579,116.475559 39.992525,116.476251 39.992058,116.476514 39.991887,116.477051 39.991527,116.477421 39.991291,116.477517 39.991232,116.479025 39.990234,116.479626 39.989832,116.479765 39.989746,116.480779 39.989076,116.481305 39.988716,116.481332 39.9887,116.482077 39.988228,116.483365 39.987386)",110000,1191,阜荣街,由西向东,阜通西大街,望京东路,1155,44000
"LINESTRING (116.483418 39.987434,116.482126 39.988292,116.481401 39.988786,116.481375 39.988802,116.480865 39.989124,116.480817 39.989156,116.47984 39.989811,116.479701 39.989902,116.479197 39.990234,116.477909 39.991087,116.477576 39.991286,116.47748 39.99135,116.477051 39.991645,116.476026 39.992332,116.474814 39.993126,116.474589 39.993276,116.474433 39.993389,116.473666 39.993882,116.472743 39.994494,116.472539 39.994617)",110000,1001191,阜荣街,由东向西,望京东路,阜荣街口,1160,44000
"LINESTRING (116.466359 39.978213,116.467459 39.979248,116.46776 39.979516,116.468285 39.979972,116.469272 39.980895,116.469948 39.981506,116.4702 39.981726,116.470436 39.981941,116.470495 39.981995,116.470919 39.982376,116.471692 39.983073,116.472276 39.983593,116.472512 39.983802,116.472588 39.983878,116.472732 39.984006,116.473108 39.984344,116.473215 39.984446,116.473478 39.984688,116.474111 39.985288,116.474943 39.985937,116.476037 39.986721,116.476209 39.986844,116.476509 39.987059,116.477051 39.98745,116.477276 39.987611,116.477491 39.987767,116.477695 39.987928,116.477904 39.98811,116.478349 39.988502,116.479529 39.989537,116.479701 39.989687,116.479899 39.98987,116.479948 39.989913,116.480033 39.989993,116.480302 39.990234,116.480345 39.990272,116.480554 39.99046,116.481122 39.99098,116.48123 39.991077,116.4819 39.991693,116.482716 39.99245,116.48278 39.992509,116.483 39.992713,116.483182 39.992922,116.483338 39.993131,116.48344 39.993292,116.483617 39.993614,116.483772 39.994006,116.483826 39.994193,116.483912 39.994601,116.483933 39.994735,116.483949 39.995207,116.483923 39.995427,116.483772 39.99591,116.483676 39.996119,116.483354 39.996677,116.483037 39.99709,116.482662 39.99745,116.482549 39.997551,116.482362 39.997718)",110000,1199,阜通东大街,由南向北,四元西桥,阜通西大街,2640,44000
"MULTILINESTRING ((116.483762 39.995191,116.483756 39.994735,116.48374 39.994542,116.483638 39.994043,116.48352 39.993727,116.483322 39.993346,116.483193 39.993147,116.483 39.992906,116.482673 39.992573,116.482614 39.99252,116.481761 39.991736,116.481053 39.991114,116.480071 39.990234,116.479894 39.990079,116.479765 39.989961,116.479567 39.989773,116.479406 39.989628,116.47917 39.989408,116.479095 39.989339,116.478698 39.988979,116.477796 39.988201,116.477576 39.988014,116.477373 39.987847,116.477185 39.987697,116.477051 39.98759,116.476766 39.987364,116.476547 39.987187,116.47615 39.986898,116.475978 39.986769),(116.475978 39.986769,116.474889 39.985996,116.474867 39.98598,116.474369 39.9856,116.474041 39.985326,116.473741 39.985058,116.473575 39.984918,116.473387 39.984752,116.472641 39.984071,116.472496 39.983931,116.472416 39.983856,116.472196 39.983658,116.471665 39.983169,116.47085 39.982429,116.470528 39.982134,116.470431 39.982043,116.470372 39.981989,116.47012 39.981769,116.469203 39.980938,116.467679 39.979559,116.467336 39.979248,116.46674 39.978712,116.466268 39.978288,116.465812 39.97788))",110000,1001199,阜通东大街,由北向南,阜安路,曙光西路,2396,44000
"LINESTRING (116.457331 39.984178,116.457621 39.984393,116.458281 39.984752,116.458769 39.984924,116.459649 39.985149,116.459869 39.985208,116.460174 39.985288,116.461414 39.985621,116.462401 39.985889,116.462808 39.98605,116.463103 39.9862,116.463693 39.986522,116.463886 39.98664,116.464085 39.986807,116.465523 39.988083,116.465694 39.98826,116.465786 39.988341,116.465957 39.988518,116.466204 39.988775,116.466858 39.989494,116.467277 39.989918,116.46754 39.990165,116.46762 39.990234,116.467883 39.99047,116.467921 39.990508,116.467985 39.990562,116.46813 39.99069,116.468495 39.991018,116.469235 39.991693,116.469986 39.99238,116.470184 39.992546,116.470458 39.992772,116.470608 39.992895,116.471037 39.993265,116.471198 39.993399,116.472196 39.994311,116.472486 39.994574,116.472539 39.994617,116.472679 39.994751,116.473569 39.995583,116.474041 39.99599,116.474664 39.996554,116.475441 39.997256,116.475511 39.997315,116.475694 39.997471,116.475989 39.99768,116.476396 39.997922,116.476579 39.998018,116.477051 39.998211,116.477196 39.99827,116.477517 39.998378,116.477823 39.998447,116.478167 39.998506,116.478483 39.998544,116.478692 39.998565,116.478998 39.998581,116.479186 39.998565,116.479658 39.998528,116.480151 39.998453,116.480784 39.998302,116.481149 39.998184,116.481573 39.997997,116.481755 39.997905,116.482072 39.997718,116.482244 39.997605,116.482431 39.997455,116.482737 39.997192,116.482936 39.996994,116.483043 39.99687,116.483343 39.99642,116.483483 39.996151,116.483622 39.995819,116.483729 39.995411)",110000,1200,阜通西大街,由西向东,阜通西大街南口,阜安东路口,2970,44000
"LINESTRING (116.482512 39.995277,116.482238 39.995245,116.482045 39.995202,116.481723 39.995095,116.481605 39.99503,116.481353 39.994837,116.480495 39.994081,116.480382 39.993979,116.479556 39.993206,116.478392 39.992166,116.477555 39.99142,116.477421 39.991291,116.477051 39.990964,116.47637 39.990358,116.476235 39.990234,116.475576 39.989639,116.475452 39.989526,116.473768 39.990608,116.473701 39.990551,116.473494 39.990701,116.472652 39.991254,116.472555 39.991318,116.471794 39.991817,116.471407 39.99208,116.470699 39.992536,116.470404 39.992723,116.470098 39.992611,116.470056 39.992573,116.469911 39.992434,116.469069 39.991645,116.46843 39.991066,116.467851 39.990551,116.467813 39.990513,116.467513 39.990234,116.467486 39.990208,116.466917 39.989698,116.466767 39.989553,116.466113 39.988861,116.465834 39.988571,116.465673 39.98841,116.465587 39.98833,116.465249 39.987981,116.464042 39.986919,116.463495 39.986528,116.463221 39.986372,116.46298 39.986259,116.462647 39.986098,116.462358 39.985991,116.459987 39.985326,116.459633 39.985235,116.458544 39.984945,116.45827 39.984854,116.457771 39.98465,116.457208 39.98435)",110000,1001200,阜通西大街,由北向南,望京街,阜通西大街南口,2907,44000
