"YEAR","GCRQ","GCZBS","HOUR","XSFX","DCSJLX","TQ","XKC","DKC","XHC","ZHC","DHC","TDH","JZX","MTC","TLJ","RLC","CLC","ZXC","KC","HC","QC","JDC","TOTAL","KC_DL","HC_DL","QC_DL","JDC_DL","TOTAL_DL","XKCS","DKCS","XHCS","ZHCS","DHCS","TDHS","JZXS","MTCS","TLJS","KC_CS","HC_CS","QC_CS","JDC_CS","GCBFB","PJCTJJ","SJZYL","FLAGS","TIME_CNT","DELETE_BY","DELETE_TIME","CREATE_BY","CREATE_TIME","UPDATE_BY","UPDATE_TIME"
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",1,"A","00","",568,2,106,157,49,66,9,0,0,0,0,0,570,387,957,957,957,572,789,1361,1361,1361,60.1,44.5,50.8,51.7,53.2,57,52.6,0,0,60,52.6,57,57,49.45,274.44,0.87,"",24,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.12.01.088000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.10.25.953377000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",1,"S","00","",360,1,51,108,35,52,2,0,0,0,0,0,361,248,609,609,609,362,534,896,896,896,61.2,44,49.3,51.5,53.6,57.8,51,0,0,61.1,52.7,57.7,57.7,47.46,157.99,1.15,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.093000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.566635000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",1,"X","00","",208,1,55,49,14,14,7,0,0,0,0,0,209,139,348,348,348,210,255,465,465,465,58.3,45,52.1,52.2,52.1,54.1,53.1,0,0,58.2,52.4,55.9,55.9,51.43,390.89,0.58,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.093000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.567289000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",2,"A","00","",414,4,186,155,36,59,6,1,0,0,0,0,418,442,860,861,861,420,787,1207,1208,1208,61.8,46.5,45.6,49,53.9,54.3,53.2,32,0,61.7,48.8,55.1,55,47.41,244.55,0.8,"",24,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.12.01.833000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.10.26.034015000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",2,"S","00","",245,2,88,122,29,53,4,1,0,0,0,0,247,296,543,544,544,248,586,834,835,835,66,46,46.9,49.9,55.9,55.3,57.8,32,0,65.8,50.7,57.6,57.5,47.53,144.42,1.09,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.031000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.583177000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",2,"X","00","",169,2,98,33,7,6,2,0,0,0,0,0,171,146,317,317,317,172,201,373,373,373,55.8,47,44.5,45.8,45.7,45.8,44,0,0,55.7,44.9,50.7,50.7,47.29,344.68,0.5,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.031000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.583915000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",3,"A","00","",326,3,241,144,33,30,6,0,0,0,0,0,329,454,783,783,783,331,701,1032,1032,1032,56.4,50.3,44.1,46.8,48.3,49.1,44.8,0,0,56.4,45.5,50.1,50.1,44.96,206.41,0.81,"",24,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.12.01.802000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.10.26.072807000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",3,"S","00","",192,3,128,107,30,25,3,0,0,0,0,0,195,293,488,488,488,197,491,688,688,688,58,50.3,44.3,47.5,49,50.1,47.3,0,0,57.9,46.4,51,51,45.86,135.67,1.08,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.078000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.569819000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",3,"X","00","",134,0,113,37,3,5,3,0,0,0,0,0,134,161,295,295,295,134,210,344,344,344,54.1,0,43.8,44.9,41.7,44,42.3,0,0,54.1,44,48.6,48.6,44.05,277.15,0.54,"",12,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.06.53.078000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.04.26.570491000 PM
2021,01-JUN-21,"32000020160926C5B281FC540615BAA6",4,"A","00","",263,5,128,146,46,69,6,1,0,0,0,0,268,395,663,664,664,271,786,1057,1058,1058,64.6,52.4,51.7,54.1,58,59.8,63.7,37,0,64.4,54.9,58.7,58.7,44.79,258.23,0.65,"",24,"",,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.12.00.975000000 PM,"TASK_DAT_DCSJ_GROUP.32%.32021%",01-JUN-21 02.10.26.171749000 PM
