gid,platenum,platecol,ownpro,industry,owncity,comcode,locpro,tms,devtime,rectime,lon,lat,locspd,devspd,tlmile,direct,altitu,situation,alarm,extra,dist_meter,time_diff,calkmh
1,辽BK4058,2,210000,30,210211,2159337,210000,1523289703,2018-04-10 00:01:43,2018-04-10 00:03:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
2,辽BK4058,2,210000,30,210211,2159337,210000,1523290003,2018-04-10 00:06:43,2018-04-10 00:08:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
3,辽BK4058,2,210000,30,210211,2159337,210000,1523290303,2018-04-10 00:11:43,2018-04-10 00:13:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
4,辽BK4058,2,210000,30,210211,2159337,210000,1523290603,2018-04-10 00:16:43,2018-04-10 00:18:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
5,辽BK4058,2,210000,30,210211,2159337,210000,1523290903,2018-04-10 00:21:43,2018-04-10 00:23:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
6,辽BK4058,2,210000,30,210211,2159337,210000,1523291203,2018-04-10 00:26:43,2018-04-10 00:28:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
7,辽BK4058,2,210000,30,210211,2159337,210000,1523291503,2018-04-10 00:31:43,2018-04-10 00:33:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
8,辽BK4058,2,210000,30,210211,2159337,210000,1523291803,2018-04-10 00:36:43,2018-04-10 00:38:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
9,辽BK4058,2,210000,30,210211,2159337,210000,1523292103,2018-04-10 00:41:43,2018-04-10 00:43:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
10,辽BK4058,2,210000,30,210211,2159337,210000,1523292403,2018-04-10 00:46:43,2018-04-10 00:48:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
11,辽BK4058,2,210000,30,210211,2159337,210000,1523292703,2018-04-10 00:51:43,2018-04-10 00:53:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
12,辽BK4058,2,210000,30,210211,2159337,210000,1523293003,2018-04-10 00:56:43,2018-04-10 00:58:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
13,辽BK4058,2,210000,30,210211,2159337,210000,1523293303,2018-04-10 01:01:43,2018-04-10 01:03:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
14,辽BK4058,2,210000,30,210211,2159337,210000,1523293603,2018-04-10 01:06:43,2018-04-10 01:08:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
15,辽BK4058,2,210000,30,210211,2159337,210000,1523293903,2018-04-10 01:11:43,2018-04-10 01:13:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
16,辽BK4058,2,210000,30,210211,2159337,210000,1523294203,2018-04-10 01:16:43,2018-04-10 01:18:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
17,辽BK4058,2,210000,30,210211,2159337,210000,1523294503,2018-04-10 01:21:43,2018-04-10 01:23:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
18,辽BK4058,2,210000,30,210211,2159337,210000,1523294803,2018-04-10 01:26:43,2018-04-10 01:28:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
19,辽BK4058,2,210000,30,210211,2159337,210000,1523295103,2018-04-10 01:31:43,2018-04-10 01:33:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
20,辽BK4058,2,210000,30,210211,2159337,210000,1523295403,2018-04-10 01:36:43,2018-04-10 01:38:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
21,辽BK4058,2,210000,30,210211,2159337,210000,1523295703,2018-04-10 01:41:43,2018-04-10 01:43:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
22,辽BK4058,2,210000,30,210211,2159337,210000,1523296003,2018-04-10 01:46:43,2018-04-10 01:48:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
23,辽BK4058,2,210000,30,210211,2159337,210000,1523296303,2018-04-10 01:51:43,2018-04-10 01:53:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
24,辽BK4058,2,210000,30,210211,2159337,210000,1523296603,2018-04-10 01:56:43,2018-04-10 01:58:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
25,辽BK4058,2,210000,30,210211,2159337,210000,1523296903,2018-04-10 02:01:43,2018-04-10 02:03:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
26,辽BK4058,2,210000,30,210211,2159337,210000,1523297203,2018-04-10 02:06:43,2018-04-10 02:08:10,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
27,辽BK4058,2,210000,30,210211,2159337,210000,1523297503,2018-04-10 02:11:43,2018-04-10 02:13:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
28,辽BK4058,2,210000,30,210211,2159337,210000,1523297803,2018-04-10 02:16:43,2018-04-10 02:18:09,122.262901,40.909231,0,0,310480,0,4,786434,0,0,0.0,300.0,0.0
