Link_ID,ST_MP,Length,NLane,LaneWidth,LShoulderWidth,RShoulderWidth,AADT,AccCount,RouteNo
1,0,0.07,1,12,10,4,6225,10,005
2,0.24,0.19,1,12,10,4,6225,2,005
3,0.43,0.04,1,12,10,4,6225,0,005
4,0.5,0.07,1,12,10,4,6225,2,005
5,0.04,0.35,1,12,10,4,9147,2,005
6,0,0.18,1,12,10,4,7202,3,005
7,0,0.03,1,13,4,4,24044,2,005
8,0.28,0.01,1,14,6,0,24044,0,005
9,0.92,0.01,2,13,6,2,27763,0,005
10,1.46,0.15,4,12,5,5,37503,15,005
11,1.71,0.04,4,12,5,5,37503,1,005
12,1.75,0.08,4,12,5,5,37503,9,005
13,1.83,0.03,4,12,5,5,37503,1,005
14,1.97,0.07,4,12,10,14,46798,5,005
15,2.4,0.03,4,12,10,10,46798,0,005
16,3.89,0.14,3,12,10,10,44121,1,005
17,4.03,0.07,3,12,12,12,44121,2,005
18,4.58,0.17,3,12,12,12,43836,1,005
19,4.75,0.21,3,12,12,12,43836,1,005
20,0.6,0.2,2,12,0,5,1698,0,090
21,0.8,0.3,2,12,0,5,1698,0,090
22,1.1,0.07,2,12,0,5,1698,0,090
23,1.17,0.05,2,12,0,5,1698,0,090
24,1.22,0.11,2,12,0,5,1698,0,090
25,2.24,0.05,2,12,8,8,12096,0,090
26,3.9,0.05,2,12,8,8,12096,0,090
27,3.95,0.03,2,12,8,8,12096,0,090
28,3.98,0.03,2,12,8,8,12096,0,090
29,4.01,0.01,2,12,8,8,12096,0,090
30,4.57,0.02,2,12,8,8,12096,0,090
31,4.59,0.16,2,12,8,8,9830,0,090
32,4.75,0.06,2,12,8,8,9830,0,090
33,5.46,0.22,2,12,8,8,7288,0,090
34,5.68,0.34,2,12,8,8,7288,1,090
35,6.12,0.21,2,12,8,8,7288,0,090
36,6.4,0.09,2,12,8,8,2251,1,090
37,65.89,0.08,4,12,0,10,45697,0,005
38,65.97,0.1,4,12,0,10,45697,3,005
39,66.08,0.33,4,12,3,10,45697,3,005
40,66.41,0.06,4,12,3,10,45697,6,005
41,66.47,1.69,4,12,3,10,45697,31,005
42,68.16,0.05,4,12,3,10,45697,0,005
43,68.24,0.19,4,12,3,10,45697,4,005
44,68.43,0.05,4,12,3,10,45697,1,005
45,68.48,0.01,4,12,3,10,44762,1,005
46,68.49,0.05,4,12,3,10,44762,2,005
47,68.54,0.12,4,12,3,10,44762,0,005
48,68.66,0.07,4,12,3,10,44762,1,005
49,68.73,0.13,4,12,3,10,44762,1,005
50,68.86,0.04,4,12,3,10,44762,0,005
51,68.9,0.11,4,12,3,10,44762,0,005
52,69.01,0.14,4,12,3,10,50312,1,005
53,69.15,0.28,4,12,3,10,50312,3,005
54,69.43,0.03,4,12,3,10,50312,1,005
55,69.51,0.29,4,12,0,10,50312,4,005
56,69.8,0.72,4,12,0,10,50312,15,005
57,7.03,0.01,6,12,0,10,68232,0,005
58,7.04,0.16,6,12,0,10,68232,9,005
59,7.2,0.04,5,12,0,10,68232,4,005
60,7.24,0.08,5,12,0,10,46525,2,005
61,7.32,0.05,4,12,0,10,46525,1,005
62,7.37,0.11,4,12,0,10,46525,2,005
63,7.48,0.01,4,14,0,0,46525,0,005
64,7.53,0.01,4,14,0,10,46525,0,005
65,7.54,0.24,4,12,0,10,46525,3,005
66,7.78,0.03,5,12,6,10,46525,0,005
67,7.92,0.06,5,12,6,10,46525,1,005
68,7.98,0.05,5,12,6,10,46525,1,005
69,70.52,0.22,4,12,0,10,50312,6,005
70,70.74,0.01,4,12,0,10,50312,1,005
71,76.41,0.04,4,12,0,10,56436,2,005
72,76.45,0.01,4,12,0,10,56436,0,005
73,76.47,0.04,4,12,0,10,56436,1,005
74,76.51,0.11,4,12,0,10,56436,6,005
75,76.62,0.14,4,12,0,10,50540,4,005
76,76.76,0.04,4,12,0,10,50540,1,005
77,76.8,0.01,4,12,0,10,50540,0,005
78,76.81,0.05,4,12,0,10,50540,2,005
79,76.86,0.02,4,12,0,10,50540,1,005
80,76.88,0.21,4,12,0,10,50540,2,005
81,77.09,0.11,4,12,0,10,63045,1,005
82,77.62,0.1,4,12,0,10,63045,4,005
83,77.72,0.14,4,12,0,10,63045,5,005
84,77.86,0.04,4,12,0,10,63045,0,005
85,77.9,0.01,4,12,0,10,63045,0,005
86,77.94,0.1,4,12,0,10,63045,4,005
87,78.04,0.14,4,12,0,10,56451,1,005
88,78.18,0.03,4,12,0,10,56451,1,005
89,78.3,0.03,4,12,0,10,56451,0,005
90,78.33,0.13,4,12,0,10,56451,2,005
91,78.64,0.25,4,12,0,10,67635,5,005
92,78.89,0.01,4,12,0,10,67635,0,005
93,78.9,0.01,4,12,0,10,67635,1,005
94,78.91,0.01,4,12,0,10,67635,0,005
95,78.92,0.1,4,12,0,10,67635,1,005
96,79.02,0.13,4,12,0,10,67635,7,005
97,79.15,0.14,4,12,0,10,57967,5,005
98,79.29,0.09,4,12,0,10,57967,4,005
99,79.38,0.12,4,12,0,10,57967,1,005
100,79.5,0.07,4,12,0,10,57967,1,005
101,8.03,0.01,6,12,6,10,46525,0,005
102,8.07,0.03,6,12,6,10,46525,1,005
103,8.1,0.13,6,12,6,10,46525,7,005
104,8.23,0.02,6,12,6,10,91950,2,005
105,8.25,0.66,6,12,6,10,91950,37,005
106,8.91,0.26,6,12,6,10,91950,16,005
107,80.31,0.97,4,12,0,10,69904,18,005
108,81.28,0.07,4,12,0,10,69904,1,005
109,81.36,0.05,4,12,0,10,69904,1,005
110,81.41,0.15,4,12,0,10,69904,6,005
111,81.56,0.01,4,12,0,10,69904,0,005
112,81.61,0.13,4,12,0,10,69904,2,005
113,81.76,0.1,4,12,0,10,58406,1,005
114,81.86,0.02,4,12,0,10,58406,1,005
115,81.88,0.13,4,12,0,10,58406,1,005
116,82.01,0.06,4,12,0,10,58406,2,005
117,82.09,0.06,4,12,0,10,58406,1,005
118,82.15,0.2,4,12,0,10,67674,6,005
119,82.4,0.05,4,12,0,10,67674,5,005
120,82.45,0.05,4,12,0,10,67674,0,005
121,82.5,0.15,4,12,0,10,67674,7,005
122,82.65,0.03,4,12,0,10,67674,1,005
123,82.68,0.12,4,12,0,10,67674,8,005
124,82.84,0.19,4,12,0,10,47465,8,005
125,83.03,0.13,4,12,0,10,47465,3,005
126,83.16,0.02,4,12,0,10,47465,1,005
127,83.18,0.15,4,12,0,10,47465,4,005
128,83.33,0.02,4,12,0,10,59588,2,005
129,83.42,0.01,4,12,0,10,59588,0,005
130,9.17,0.03,6,12,6,10,91950,0,005
131,9.24,0.25,6,12,6,10,91950,9,005
132,9.49,0.02,6,12,6,10,91950,0,005
133,9.53,0.02,6,12,6,10,77759,4,005
134,9.55,0.16,6,12,6,10,77759,7,005
135,9.71,0.23,6,12,6,10,77759,7,005
136,96.23,0.04,6,12,0,22,59214,2,005
137,96.27,1.01,6,12,0,10,59214,28,005
138,97.28,0.19,6,12,0,10,59214,8,005
139,97.47,1.22,6,12,0,10,59214,36,005
140,98.69,0.06,6,12,0,10,59214,0,005
141,98.75,0.2,6,12,0,10,59214,1,005
142,98.95,0.01,6,12,0,10,59214,1,005
143,98.97,0.07,6,12,0,10,59214,1,005
144,99.04,0.01,6,12,0,10,59214,0,005
145,99.05,0.16,6,12,0,10,59214,4,005
146,99.29,0.06,6,12,0,10,59214,2,005
147,99.55,0.1,6,12,0,10,56441,3,005
148,99.65,0.09,6,12,0,10,56441,2,005
149,99.84,0.68,6,12,0,10,68617,18,005
150,0.42,0.08,4,12,4,10,28263,2,500
151,0.5,0.06,4,12,4,10,28263,3,500
152,0.56,0.03,4,12,0,10,28263,1,500
153,0.59,0.07,4,12,0,10,28263,2,500
154,0.66,0.04,4,12,0,10,28263,0,500
155,0.72,0.17,4,12,0,10,28263,6,500
156,0.89,0.14,4,12,0,10,40330,19,500
157,1.03,0.03,4,12,0,10,40330,2,500
158,1.06,0.05,4,12,0,10,40330,0,500
159,1.11,0.01,4,12,0,10,40330,0,500
160,1.12,0.01,4,12,0,10,40330,0,500
161,1.19,0.03,4,12,0,8,42913,0,500
162,1.22,0.01,4,12,0,8,42913,1,500
163,1.28,0.02,4,12,0,10,42913,3,500
164,1.3,0.35,4,12,0,10,42913,12,500
165,1.69,0.03,4,12,0,10,42913,2,500
166,1.72,0.07,4,12,0,8,42913,0,500
167,1.79,0.01,4,12,0,8,42913,0,500
168,1.8,0.01,4,12,0,10,42913,57,500
169,1.81,0.06,4,12,0,10,42913,3,500
170,1.87,0.04,4,12,0,10,42913,3,500
171,1.93,0.34,4,12,0,10,42913,12,500
172,10.03,0.02,4,12,0,0,11593,1,500
173,10.05,0.06,4,14,0,0,11593,0,500
174,10.11,0.02,4,14,0,0,15219,0,500
