Local Date, Local Time,Speed
01/03/2014,0:00:00,83.45
01/03/2014,0:15:00,83.82
01/03/2014,0:30:00,84.83
01/03/2014,0:45:00,84.57
01/03/2014,1:00:00,86.48
01/03/2014,1:15:00,83.52
01/03/2014,1:30:00,84.42
01/03/2014,1:45:00,81.99
01/03/2014,2:00:00,83.97
01/03/2014,2:15:00,85.81
01/03/2014,2:30:00,82.42
01/03/2014,2:45:00,83.97
01/03/2014,3:00:00,83.3
01/03/2014,3:15:00,82.42
01/03/2014,3:30:00,83.52
01/03/2014,3:45:00,83.97
01/03/2014,4:00:00,84.42
01/03/2014,4:15:00,84.83
01/03/2014,4:30:00,84.53
01/03/2014,4:45:00,85.75
01/03/2014,5:00:00,83.75
01/03/2014,5:15:00,83.18
01/03/2014,5:30:00,85.51
01/03/2014,5:45:00,83.09
01/03/2014,6:00:00,82.99
01/03/2014,6:15:00,84.12
01/03/2014,6:30:00,83.59
01/03/2014,6:45:00,83.17
01/03/2014,7:00:00,82.79
01/03/2014,7:15:00,82
01/03/2014,7:30:00,82.69
01/03/2014,7:45:00,81.45
01/03/2014,8:00:00,81.69
01/03/2014,8:15:00,81.22
01/03/2014,8:30:00,81.38
01/03/2014,8:45:00,80.05
01/03/2014,9:00:00,80.25
01/03/2014,9:15:00,80.81
01/03/2014,9:30:00,80.32
01/03/2014,9:45:00,80.02
01/03/2014,10:00:00,79.54
01/03/2014,10:15:00,79.29
01/03/2014,10:30:00,79.7
01/03/2014,10:45:00,78.94
01/03/2014,11:00:00,78.39
01/03/2014,11:15:00,78.97
01/03/2014,11:30:00,79.45
01/03/2014,11:45:00,78.87
01/03/2014,12:00:00,78.97
01/03/2014,12:15:00,79.15
01/03/2014,12:30:00,79.18
01/03/2014,12:45:00,79.27
01/03/2014,13:00:00,80.55
01/03/2014,13:15:00,80.4
01/03/2014,13:30:00,80.48
01/03/2014,13:45:00,79.48
01/03/2014,14:00:00,79.99
01/03/2014,14:15:00,80.35
01/03/2014,14:30:00,80.52
01/03/2014,14:45:00,80.71
01/03/2014,15:00:00,80.28
01/03/2014,15:15:00,80.98
01/03/2014,15:30:00,80.31
01/03/2014,15:45:00,81.72
01/03/2014,16:00:00,80.28
01/03/2014,16:15:00,80.88
01/03/2014,16:30:00,81.81
01/03/2014,16:45:00,80.88
01/03/2014,17:00:00,80.63
01/03/2014,17:15:00,80
01/03/2014,17:30:00,79.38
01/03/2014,17:45:00,80.14
01/03/2014,18:00:00,80.09
