DATE,TIME,FLOW
01/03/2014,0:00:00,56
01/03/2014,0:15:00,58
01/03/2014,0:30:00,59
01/03/2014,0:45:00,45
01/03/2014,1:00:00,40
01/03/2014,1:15:00,49
01/03/2014,1:30:00,36
01/03/2014,1:45:00,39
01/03/2014,2:00:00,34
01/03/2014,2:15:00,30
01/03/2014,2:30:00,29
01/03/2014,2:45:00,26
01/03/2014,3:00:00,21
01/03/2014,3:15:00,30
01/03/2014,3:30:00,25
01/03/2014,3:45:00,31
01/03/2014,4:00:00,32
01/03/2014,4:15:00,38
01/03/2014,4:30:00,43
01/03/2014,4:45:00,55
01/03/2014,5:00:00,46
01/03/2014,5:15:00,66
01/03/2014,5:30:00,66
01/03/2014,5:45:00,89
01/03/2014,6:00:00,111
01/03/2014,6:15:00,113
01/03/2014,6:30:00,133
01/03/2014,6:45:00,149
01/03/2014,7:00:00,154
01/03/2014,7:15:00,201
01/03/2014,7:30:00,216
01/03/2014,7:45:00,220
01/03/2014,8:00:00,279
01/03/2014,8:15:00,265
01/03/2014,8:30:00,329
01/03/2014,8:45:00,330
01/03/2014,9:00:00,406
01/03/2014,9:15:00,376
01/03/2014,9:30:00,449
01/03/2014,9:45:00,461
01/03/2014,10:00:00,565
01/03/2014,10:15:00,577
01/03/2014,10:30:00,573
01/03/2014,10:45:00,580
01/03/2014,11:00:00,663
01/03/2014,11:15:00,647
01/03/2014,11:30:00,625
01/03/2014,11:45:00,622
01/03/2014,12:00:00,610
01/03/2014,12:15:00,548
01/03/2014,12:30:00,586
01/03/2014,12:45:00,587
01/03/2014,13:00:00,556
01/03/2014,13:15:00,445
01/03/2014,13:30:00,492
01/03/2014,13:45:00,480
01/03/2014,14:00:00,485
01/03/2014,14:15:00,497
01/03/2014,14:30:00,441
01/03/2014,14:45:00,445
01/03/2014,15:00:00,458
01/03/2014,15:15:00,460
01/03/2014,15:30:00,456
01/03/2014,15:45:00,416
01/03/2014,16:00:00,451
01/03/2014,16:15:00,436
01/03/2014,16:30:00,440
01/03/2014,16:45:00,422
01/03/2014,17:00:00,455
01/03/2014,17:15:00,473
01/03/2014,17:30:00,546
01/03/2014,17:45:00,480
01/03/2014,18:00:00,444
01/03/2014,18:15:00,449
01/03/2014,18:30:00,389
01/03/2014,18:45:00,358
01/03/2014,19:00:00,344
01/03/2014,19:15:00,286
01/03/2014,19:30:00,273
01/03/2014,19:45:00,248
01/03/2014,20:00:00,230
01/03/2014,20:15:00,224
01/03/2014,20:30:00,168
01/03/2014,20:45:00,177
01/03/2014,21:00:00,152
01/03/2014,21:15:00,108
01/03/2014,21:30:00,113
01/03/2014,21:45:00,80
01/03/2014,22:00:00,105
01/03/2014,22:15:00,89
01/03/2014,22:30:00,99
01/03/2014,22:45:00,105
01/03/2014,23:00:00,120
01/03/2014,23:15:00,127
01/03/2014,23:30:00,112
01/03/2014,23:45:00,88
02/03/2014,0:00:00,65
02/03/2014,0:15:00,49
02/03/2014,0:30:00,58
02/03/2014,0:45:00,43
02/03/2014,1:00:00,39
02/03/2014,1:15:00,27
02/03/2014,1:30:00,39
02/03/2014,1:45:00,37
02/03/2014,2:00:00,28
02/03/2014,2:15:00,31
02/03/2014,2:30:00,34
02/03/2014,2:45:00,22
02/03/2014,3:00:00,34
02/03/2014,3:15:00,35
02/03/2014,3:30:00,24
02/03/2014,3:45:00,31
02/03/2014,4:00:00,23
02/03/2014,4:15:00,30
02/03/2014,4:30:00,37
02/03/2014,4:45:00,32
02/03/2014,5:00:00,41
02/03/2014,5:15:00,43
02/03/2014,5:30:00,55
02/03/2014,5:45:00,52
02/03/2014,6:00:00,54
02/03/2014,6:15:00,88
02/03/2014,6:30:00,105
02/03/2014,6:45:00,111
02/03/2014,7:00:00,162
02/03/2014,7:15:00,162
02/03/2014,7:30:00,215
02/03/2014,7:45:00,219
02/03/2014,8:00:00,309
02/03/2014,8:15:00,282
02/03/2014,8:30:00,318
02/03/2014,8:45:00,283
02/03/2014,9:00:00,308
02/03/2014,9:15:00,302
02/03/2014,9:30:00,289
02/03/2014,9:45:00,301
02/03/2014,10:00:00,323
02/03/2014,10:15:00,403
02/03/2014,10:30:00,414
02/03/2014,10:45:00,404
02/03/2014,11:00:00,501
02/03/2014,11:15:00,500
02/03/2014,11:30:00,524
02/03/2014,11:45:00,514
02/03/2014,12:00:00,531
02/03/2014,12:15:00,508
02/03/2014,12:30:00,536
02/03/2014,12:45:00,609
02/03/2014,13:00:00,577
02/03/2014,13:15:00,535
02/03/2014,13:30:00,539
02/03/2014,13:45:00,600
02/03/2014,14:00:00,603
02/03/2014,14:15:00,590
02/03/2014,14:30:00,610
02/03/2014,14:45:00,623
02/03/2014,15:00:00,714
02/03/2014,15:15:00,655
02/03/2014,15:30:00,642
02/03/2014,15:45:00,673
02/03/2014,16:00:00,721
02/03/2014,16:15:00,771
02/03/2014,16:30:00,765
02/03/2014,16:45:00,779
02/03/2014,17:00:00,782
02/03/2014,17:15:00,723
02/03/2014,17:30:00,649
02/03/2014,17:45:00,632
02/03/2014,18:00:00,602
02/03/2014,18:15:00,608
02/03/2014,18:30:00,534
02/03/2014,18:45:00,528
02/03/2014,19:00:00,544
02/03/2014,19:15:00,486
02/03/2014,19:30:00,535
02/03/2014,19:45:00,484
02/03/2014,20:00:00,362
02/03/2014,20:15:00,352
02/03/2014,20:30:00,326
02/03/2014,20:45:00,276
02/03/2014,21:00:00,268
02/03/2014,21:15:00,248
02/03/2014,21:30:00,205
02/03/2014,21:45:00,184
02/03/2014,22:00:00,164
02/03/2014,22:15:00,133
02/03/2014,22:30:00,106
02/03/2014,22:45:00,97
02/03/2014,23:00:00,82
02/03/2014,23:15:00,76
02/03/2014,23:30:00,61
02/03/2014,23:45:00,42
03/03/2014,0:00:00,47
03/03/2014,0:15:00,34
03/03/2014,0:30:00,38
03/03/2014,0:45:00,43
03/03/2014,1:00:00,26
03/03/2014,1:15:00,26
03/03/2014,1:30:00,23
03/03/2014,1:45:00,29
03/03/2014,2:00:00,29
03/03/2014,2:15:00,18
03/03/2014,2:30:00,19
03/03/2014,2:45:00,32
03/03/2014,3:00:00,32
03/03/2014,3:15:00,37
03/03/2014,3:30:00,55
03/03/2014,3:45:00,77
03/03/2014,4:00:00,107
03/03/2014,4:15:00,129
03/03/2014,4:30:00,200
03/03/2014,4:45:00,251
03/03/2014,5:00:00,295
03/03/2014,5:15:00,400
03/03/2014,5:30:00,425
03/03/2014,5:45:00,645
03/03/2014,6:00:00,685
03/03/2014,6:15:00,556
03/03/2014,6:30:00,488
03/03/2014,6:45:00,529
03/03/2014,7:00:00,534
03/03/2014,7:15:00,526
03/03/2014,7:30:00,529
03/03/2014,7:45:00,514
03/03/2014,8:00:00,552
03/03/2014,8:15:00,528
03/03/2014,8:30:00,559
03/03/2014,8:45:00,584
03/03/2014,9:00:00,590
03/03/2014,9:15:00,604
03/03/2014,9:30:00,761
03/03/2014,9:45:00,744
03/03/2014,10:00:00,743
03/03/2014,10:15:00,715
03/03/2014,10:30:00,852
03/03/2014,10:45:00,529
03/03/2014,11:00:00,538
03/03/2014,11:15:00,520
03/03/2014,11:30:00,534
03/03/2014,11:45:00,558
03/03/2014,12:00:00,531
03/03/2014,12:15:00,546
03/03/2014,12:30:00,522
03/03/2014,12:45:00,534
03/03/2014,13:00:00,556
03/03/2014,13:15:00,528
03/03/2014,13:30:00,516
03/03/2014,13:45:00,613
03/03/2014,14:00:00,575
03/03/2014,14:15:00,539
03/03/2014,14:30:00,520
03/03/2014,14:45:00,606
03/03/2014,15:00:00,589
03/03/2014,15:15:00,614
03/03/2014,15:30:00,610
03/03/2014,15:45:00,663
03/03/2014,16:00:00,664
03/03/2014,16:15:00,695
03/03/2014,16:30:00,800
03/03/2014,16:45:00,732
03/03/2014,17:00:00,700
03/03/2014,17:15:00,724
03/03/2014,17:30:00,736
03/03/2014,17:45:00,652
03/03/2014,18:00:00,555
03/03/2014,18:15:00,542
03/03/2014,18:30:00,513
03/03/2014,18:45:00,417
03/03/2014,19:00:00,323
03/03/2014,19:15:00,301
03/03/2014,19:30:00,265
03/03/2014,19:45:00,237
03/03/2014,20:00:00,226
03/03/2014,20:15:00,198
03/03/2014,20:30:00,177
03/03/2014,20:45:00,181
03/03/2014,21:00:00,150
03/03/2014,21:15:00,142
03/03/2014,21:30:00,86
03/03/2014,21:45:00,137
03/03/2014,22:00:00,109
03/03/2014,22:15:00,134
03/03/2014,22:30:00,162
03/03/2014,22:45:00,143
03/03/2014,23:00:00,142
03/03/2014,23:15:00,107
03/03/2014,23:30:00,88
03/03/2014,23:45:00,100
04/03/2014,0:00:00,95
04/03/2014,0:15:00,92
04/03/2014,0:30:00,87
04/03/2014,0:45:00,64
04/03/2014,1:00:00,66
04/03/2014,1:15:00,96
04/03/2014,1:30:00,70
04/03/2014,1:45:00,70
04/03/2014,2:00:00,70
04/03/2014,2:15:00,80
04/03/2014,2:30:00,73
04/03/2014,2:45:00,77
04/03/2014,3:00:00,79
04/03/2014,3:15:00,86
04/03/2014,3:30:00,61
04/03/2014,3:45:00,57
04/03/2014,4:00:00,33
04/03/2014,4:15:00,61
04/03/2014,4:30:00,73
04/03/2014,4:45:00,88
04/03/2014,5:00:00,163
04/03/2014,5:15:00,175
04/03/2014,5:30:00,235
04/03/2014,5:45:00,362
04/03/2014,6:00:00,467
04/03/2014,6:15:00,664
04/03/2014,6:30:00,753
04/03/2014,6:45:00,821
04/03/2014,7:00:00,847
04/03/2014,7:15:00,819
04/03/2014,7:30:00,526
04/03/2014,7:45:00,522
04/03/2014,8:00:00,705
04/03/2014,8:15:00,796
04/03/2014,8:30:00,845
04/03/2014,8:45:00,591
04/03/2014,9:00:00,756
04/03/2014,9:15:00,826
04/03/2014,9:30:00,440
04/03/2014,9:45:00,421
04/03/2014,10:00:00,674
04/03/2014,10:15:00,677
04/03/2014,10:30:00,481
04/03/2014,10:45:00,393
04/03/2014,11:00:00,442
04/03/2014,11:15:00,442
04/03/2014,11:30:00,433
04/03/2014,11:45:00,437
04/03/2014,12:00:00,477
04/03/2014,12:15:00,492
04/03/2014,12:30:00,493
04/03/2014,12:45:00,453
04/03/2014,13:00:00,480
04/03/2014,13:15:00,443
04/03/2014,13:30:00,606
04/03/2014,13:45:00,576
04/03/2014,14:00:00,543
04/03/2014,14:15:00,603
04/03/2014,14:30:00,573
04/03/2014,14:45:00,588
04/03/2014,15:00:00,603
04/03/2014,15:15:00,645
04/03/2014,15:30:00,674
04/03/2014,15:45:00,691
04/03/2014,16:00:00,713
04/03/2014,16:15:00,741
04/03/2014,16:30:00,844
04/03/2014,16:45:00,775
04/03/2014,17:00:00,783
04/03/2014,17:15:00,698
04/03/2014,17:30:00,720
04/03/2014,17:45:00,688
04/03/2014,18:00:00,599
04/03/2014,18:15:00,516
04/03/2014,18:30:00,444
04/03/2014,18:45:00,456
04/03/2014,19:00:00,372
04/03/2014,19:15:00,335
04/03/2014,19:30:00,275
04/03/2014,19:45:00,278
04/03/2014,20:00:00,196
04/03/2014,20:15:00,184
04/03/2014,20:30:00,169
04/03/2014,20:45:00,154
04/03/2014,21:00:00,123
04/03/2014,21:15:00,161
04/03/2014,21:30:00,207
04/03/2014,21:45:00,191
04/03/2014,22:00:00,213
04/03/2014,22:15:00,210
04/03/2014,22:30:00,145
04/03/2014,22:45:00,168
04/03/2014,23:00:00,134
04/03/2014,23:15:00,124
04/03/2014,23:30:00,122
04/03/2014,23:45:00,110
05/03/2014,0:00:00,102
05/03/2014,0:15:00,102
05/03/2014,0:30:00,98
05/03/2014,0:45:00,79
05/03/2014,1:00:00,72
05/03/2014,1:15:00,77
05/03/2014,1:30:00,59
05/03/2014,1:45:00,85
05/03/2014,2:00:00,87
05/03/2014,2:15:00,68
05/03/2014,2:30:00,63
05/03/2014,2:45:00,78
05/03/2014,3:00:00,85
05/03/2014,3:15:00,89
05/03/2014,3:30:00,100
05/03/2014,3:45:00,111
05/03/2014,4:00:00,125
05/03/2014,4:15:00,164
05/03/2014,4:30:00,189
05/03/2014,4:45:00,235
05/03/2014,5:00:00,154
05/03/2014,5:15:00,153
05/03/2014,5:30:00,250
05/03/2014,5:45:00,418
05/03/2014,6:00:00,455
05/03/2014,6:15:00,625
